Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B2_1,B2_2,B2_3,B2_4
Beta_1.80,M334,1.27570198889835,1.29610232796651,1.05809103955607,0.473152731711562,0,0,0.000135335283236613,0
Beta_1.80,M335,1.29469304081087,1.35081038107606,1.08874625694355,0.486217165035206,0,0,0.000606530674942626,0
Beta_1.80,M336,1.49886741311115,1.42562680870865,1.12290402072264,0.525973914083065,0,0,1.92874984796392e-25,0
Beta_1.80,M337,1.72562655835362,1.5819448579366,1.14598191732652,0.587855777368208,0,0,0.0010003354626279,0
Beta_1.80,M338,1.90676850828865,1.74620001381307,1.17076575522399,0.656077207227014,0,0,1.38634329364119e-52,0
Beta_1.80,M339,2.02695193912756,1.87924379010555,1.2701521362228,0.715820659054867,0,0,0.000606530659712634,0
Beta_1.80,M340,2.08458415092057,1.96935256799691,1.36086408215969,0.761382382531807,0,0,0.000135335283236613,0
Beta_1.80,M341,2.08524238057662,2.01447963308418,1.4286263999985,0.794665863417433,0,0,4.37749103706873e-226,0
Beta_1.80,M342,1.99410712756171,1.97053057102674,1.41944621898343,0.766414306874277,0,0,1.92874984796392e-25,0
Beta_1.80,M343,1.85214476948342,1.86443505950363,1.36447512982511,0.70597695864817,0,0,0,0
Beta_1.80,M344,1.7289794558808,1.73876547040842,1.31516804300121,0.663838786974141,0,0,6.70925255805024e-07,0
Beta_1.80,M345,1.59302220652944,1.53494645869648,1.1871102143115,0.568473299993524,0,0,4.37749103705305e-226,0
Beta_1.80,M346,1.4327837621861,1.34685666188475,0.999422023103488,0.461741846166495,0,0,0,0
Beta_1.80,M347,1.23485331868407,1.1788506938417,0.790282051908866,0.395751373892035,0,7.38776613697515e-199,2.39425476094889e-186,0
Beta_1.80,M348,1.01476909095952,0.987013921355329,0.686544037070784,0.364029697554699,0,0,0,0
Beta_1.80,M349,0.840330150253542,0.807689139910619,0.64526210258881,0.34192580057567,0,0,0,0
Beta_1.80,M350,0.685967360097326,0.588312521635925,0.506803053865472,0.234750665558754,0,0,0,0
Beta_1.80,M351,0.676193207502635,0.564645199684735,0.47189260339861,0.239796370680239,0,0,0,0
Beta_1.80,M352,0.690821569012906,0.572238123106196,0.419000590994752,0.247657006251361,0,0,0,0
Beta_1.80,M353,0.121525499707539,5.83363513649956e-08,6.82349479771344e-28,1.61311170581058e-61,0,0,0,0
Beta_1.80,M354,0.16307195164518,0.000121206850862312,1.74307701173198e-14,4.33439365862691e-31,0,0,0,0
Beta_1.80,M355,0.220249126758319,0.00569232667665766,5.91979566495614e-08,2.32124569243311e-16,0,0,0,0
Beta_1.80,M356,0.855791831179922,0.670008460061603,0.504329246883787,0.329734959125314,0,0,0,0
