Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B2_1,B2_2,B2_3,B2_4,B2_5
Beta_1.80,M371,1.26223216424368,1.28180144784021,1.24895423355474,0.906320488933979,0.470175914256697,0,0,0.000146444295027732,0,0
Beta_1.80,M372,1.29650960200092,1.34179044114144,1.29629006646784,0.933512056266475,0.485477491050004,0,0,0.000617639656273774,0,0
Beta_1.80,M373,1.50436993945552,1.49086009790811,1.29937608010542,0.972664199813293,0.526683868474806,0,0,3.36244046633071e-240,0,0
Beta_1.80,M374,1.72965416961521,1.68771075914606,1.33833177467453,1.0179308516595,0.590160828508059,0,0,0,0.000606530659735531,0
Beta_1.80,M375,1.90632311301906,1.8537096340771,1.46519366779167,1.05775482111909,0.658263319208651,0,0,0,0,0
Beta_1.80,M376,2.02836672583175,1.98288196501472,1.59553465611622,1.1183936181136,0.719070421975015,0,0,0,3.72665318474284e-09,0
Beta_1.80,M377,2.08266212852402,2.05901645854061,1.69501775660249,1.19480140763218,0.762021059199468,0,0,0,0,0
Beta_1.80,M378,2.07715094498652,2.08322104565771,1.75461493614361,1.24878632621427,0.788418450832393,0,0,0,0,0
Beta_1.80,M379,1.98308087717744,2.01942913736152,1.73318841196313,1.23270771817835,0.75588709657991,0,0,0,0,0
Beta_1.80,M380,1.8432954243415,1.89778564702079,1.6644120953461,1.18139380431561,0.698125927389432,0,0,0,0,0
Beta_1.80,M381,1.71724357319792,1.75387112828404,1.578639245748,1.1321194041426,0.652328425632131,0,0,0,7.95674389195163e-109,0
Beta_1.80,M382,1.58257889878447,1.56464696472426,1.40076746188685,1.01644879938379,0.559638000155657,0,0,0,0.000135339009889785,0
Beta_1.80,M383,1.41867246822752,1.39847370274723,1.15599897563801,0.855091224034433,0.454626301461891,0,0,1.61608841383027e-150,2.74878639425355e-46,0
Beta_1.80,M384,1.21885527381644,1.22223505495724,0.97930864439727,0.707539161963036,0.393938891700861,0,0,0,0,0
Beta_1.80,M385,1.00151136998867,1.0131384071714,0.851579999232918,0.599379982767889,0.365048847510622,0,5.31109224967914e-30,0,0,0
Beta_1.80,M386,0.829171376929997,0.794354832571071,0.775143685304339,0.556284586606324,0.341064564471856,0,0,0,0,0
Beta_1.80,M387,0.680818883400534,0.592413328913645,0.592466952533259,0.41812987186344,0.234499722648368,0,0,0,0,0
Beta_1.80,M388,0.675126058855855,0.590906651318829,0.498926798435954,0.39101537584615,0.239796141235113,0,0,0,1.75568809785483e-66,0
Beta_1.80,M389,0.690733060564036,0.599303353926198,0.504103976962981,0.376939095661308,0.248784143450464,0,0,0,0,0
Beta_1.80,M390,0.123584047488138,5.55685051934159e-05,1.15412076831098e-15,9.21529190501327e-34,2.82879994830195e-59,0,0,0,0,0
Beta_1.80,M391,0.165101712483442,0.00345059405200488,1.59680571166141e-08,1.4643396262683e-17,2.66111156223838e-30,0,0,0,0,0
Beta_1.80,M392,0.222264424079179,0.0306481525025849,5.81631988385344e-05,1.42436941471614e-09,4.50119023087702e-16,0,0,0,0,0
Beta_1.80,M393,0.85559764176038,0.72417383653904,0.586298466379265,0.460888221696639,0.329734959647034,0,0,0,0,0
Beta_1.80,M394,0.90146664023942,0.779956801164895,0.600074177445979,0.460674692948773,0.328563705979138,0,0,0,0,0
Beta_1.80,M395,0.956041030657763,0.85012536856649,0.642320784078908,0.51147977835673,0.328051338651182,0,0,0,0,0
Beta_1.80,M396,1.02078170857138,0.929094169594078,0.727369395534941,0.584634570507613,0.336444561331619,0,0,0,0,0
Beta_1.80,M397,1.08970015316764,1.02842223666086,0.922451743897025,0.687808569665232,0.381292541104894,0,0,0,0,0
Beta_1.80,M398,1.19196735173625,1.22797084032671,1.12559526321445,0.812720620813811,0.465837764101099,0,0,0,0,0
Beta_1.80,M399,1.39864949057912,1.46016463393225,1.29710764440261,0.948343185443351,0.577584352831617,0,0,0,1.0015931413241e-161,0
Beta_1.80,M400,1.62651416752833,1.6471155413295,1.43801061774739,1.07518674089286,0.69202479378555,0,1.38634329364119e-52,0,1.0015931413241e-161,0
Beta_1.80,M401,1.79958687348635,1.77896037533796,1.54609382505551,1.17892508917855,0.790045592329702,0,0,0,6.44733204401993e-156,0
Beta_1.80,M402,1.9019600004353,1.85666986296249,1.61503389847268,1.24745226573581,0.856126238746848,0,0,0,6.44733204401993e-156,0
Beta_1.80,M403,1.91935417003265,1.86664926168538,1.62368578552034,1.25594310502762,0.864469513739725,0,0,0,6.44733204401993e-156,0
Beta_1.80,M404,1.86531149505321,1.8164000695345,1.57688090717675,1.20865177923459,0.819023471477236,0,0,0,1.61405584800912e-34,0
Beta_1.80,M405,1.76470914570753,1.72468268838306,1.4937527849271,1.13431674618041,0.741149909552619,0,0,0,0.00100067092525582,0
Beta_1.80,M406,1.61172471987344,1.58842455735822,1.37383437752261,1.06708421512642,0.636091974421079,0,0,0,0,0
Beta_1.80,M407,1.41758608754873,1.40892153299239,1.26294469533019,0.969713787057909,0.526575865867763,0,0,1.0628136728932e-300,0,0
Beta_1.80,M408,1.25159774183366,1.27002696909846,1.24557550481369,0.904798742675977,0.467423134411757,0,0,0.000741865942949247,0,0
Beta_1.80,M409,1.29746551372315,1.33315728288452,1.28955230807351,0.932340233122021,0.484262667345528,0,0,3.72665317208125e-09,0.000146444279774855,0
Beta_1.80,M410,1.51090093305507,1.49445051321841,1.29102779805713,0.9731721450084,0.528396451805073,0,0,5.70904010586443e-174,2.28973484564556e-14,0
Beta_1.80,M411,1.73466914881927,1.69185452208744,1.34049908704007,1.01717235550617,0.593450072849088,0,0,0,0.000135335298466593,0
Beta_1.80,M412,1.91079462536288,1.85755904697672,1.4689891172728,1.05662373579619,0.662296712949047,0,0,0,1.61608841382025e-150,0
Beta_1.80,M413,2.0283142706813,1.98301310601675,1.59556243506059,1.11885785175543,0.719882997961187,0,0,0,2.57220937264242e-59,0
Beta_1.80,M414,2.08071912156998,2.05792812914089,1.69383971933469,1.19406185902861,0.762476141478636,0,0,0,0,0
Beta_1.80,M415,2.07217686954837,2.079042998212,1.75065650290773,1.24457474358564,0.784604879416466,0,0,0,0,0
Beta_1.80,M416,1.97092481263963,2.00789320032901,1.72168337036291,1.22054962501195,0.744470877143279,0,0,0,1.11089965382423e-05,0
Beta_1.80,M417,1.83452099760457,1.88900603219682,1.65598089594192,1.17289077794825,0.690245701096253,0,0,0,5.75566700680469e-139,0
Beta_1.80,M418,1.7068374620182,1.74295939517453,1.56794742188166,1.12190033005401,0.643472839787645,0,0,0,2.28973484564556e-14,0
Beta_1.80,M419,1.56969906291974,1.5510127564993,1.38573543801501,1.00323465148753,0.549721920844134,0,0,0,0,0
Beta_1.80,M420,1.40630446036839,1.38499999566204,1.14054807079709,0.843761697656257,0.449041675972781,0,0,0,0,0
Beta_1.80,M421,1.20344596956615,1.20561651392133,0.965096909688407,0.701016790129707,0.392296870974214,0,0,0,1.38634329364119e-52,0
Beta_1.80,M422,0.983346512815995,0.992828421820909,0.842491180516315,0.594989760023716,0.363111209611526,0,1.73008220968362e-99,0,5.31109224967914e-30,0
Beta_1.80,M423,0.81926245291531,0.785521800130567,0.774146619440081,0.556270976540395,0.340944684348026,0,0,0,1.75568809785483e-66,0
Beta_1.80,M424,0.676656433958114,0.592753263479631,0.591520247824318,0.419321003047003,0.235568196346104,0,0,0,1.0015931413241e-161,0
Beta_1.80,M425,0.676168734781538,0.5919567475305,0.499381562864279,0.392183355407264,0.240915945707822,0,0,0,0,0
Beta_1.80,M426,0.691733271717552,0.600352294072658,0.50526215409717,0.378024660877821,0.24991228479573,0,0,0,0,0
Beta_1.80,M427,0.123584047488138,5.55685051934159e-05,1.15412076831098e-15,9.21529190501327e-34,2.82879994830195e-59,0,0,0,0,0
Beta_1.80,M428,0.163954940243837,0.00345059405200488,1.59680571166141e-08,1.4643396262683e-17,2.66111156223838e-30,0,0,0,0,0
Beta_1.80,M429,0.221086774656924,0.0306481525025849,5.81631988385344e-05,1.42436941471614e-09,4.50119023087702e-16,0,0,0,0,0
Beta_1.80,M430,0.85559764176038,0.72417383653904,0.586298466379265,0.460888221696639,0.329734959647034,0,0,0,0,0
Beta_1.80,M431,0.9012572622105,0.781167253263933,0.600591528780098,0.460433610807715,0.328564637583148,0,0,0,0,0
Beta_1.80,M432,0.95704306426401,0.851318377989711,0.643249317853944,0.505014732683666,0.328085676416809,0,0,0,0,0
Beta_1.80,M433,1.02172048335592,0.930643649036722,0.723489654540433,0.582207032614293,0.337051346008571,0,0,0,0,0
Beta_1.80,M434,1.08939563709458,1.02234000959553,0.907234792195411,0.682600593220965,0.378061792471147,0,0,0,0,0
Beta_1.80,M435,1.18090567560895,1.20665558321755,1.11212125518046,0.805914668793174,0.459984531915841,0,0,0,0,0
Beta_1.80,M436,1.37520512203953,1.44088263359467,1.28728392489164,0.941606861955789,0.571076117647968,0,0,0,1.0015931413241e-161,0
Beta_1.80,M437,1.60258918433429,1.63073341014439,1.4274649399987,1.06607892509171,0.68322993586936,0,4.40853133146549e-74,0,1.0015931413241e-161,0
Beta_1.80,M438,1.78211605836263,1.76740587429293,1.53801152195946,1.17164197330164,0.782849298877807,0,0,0,6.44733204401993e-156,0
Beta_1.80,M439,1.88900584777884,1.84757282435691,1.60793789351196,1.24077785177511,0.849540223676398,0,0,0,6.44733204401993e-156,0
Beta_1.80,M440,1.90980637005776,1.8602349647711,1.61900018773262,1.25168969282795,0.860254639987178,0,0,0,6.44733204401993e-156,0
Beta_1.80,M441,1.85313193593271,1.80701037713009,1.56882588064859,1.20076508399681,0.811419331979043,0,0,0,5.15370709860589e-21,0
Beta_1.80,M442,1.74655291930285,1.71055816613032,1.4818264703019,1.1228006427419,0.730346494922357,0,0,0,0.0010000000000458,0
Beta_1.80,M443,1.58820528336344,1.57030108264831,1.35900347984756,1.05420011268414,0.62389479373333,0,0,0,1.92874984796392e-25,0
Beta_1.80,M444,1.39142747906675,1.38566457406319,1.24676660750355,0.955422051177649,0.51490911190399,0,0,4.78850952189816e-186,0.000606530659712634,0
Beta_1.80,M445,1.23997011851966,1.25640957184555,1.24061665639271,0.9023139079856,0.464216962290002,0,0,1.92874984796392e-25,0,0
Beta_1.80,M446,1.29784408468305,1.32233320494747,1.27970279840021,0.929954042510654,0.48222871387027,0,0,5.38018616002122e-35,5.38018616002122e-35,0
Beta_1.80,M447,1.51322577805257,1.49603889604445,1.279841143354,0.970865567667556,0.528356312229032,0,0,5.70904010586443e-174,0,0
Beta_1.80,M448,1.73816190724198,1.69537364008964,1.34359212059386,1.01687569888644,0.596913073782388,0,0,0,0,0
Beta_1.80,M449,1.91142557575059,1.85881949569865,1.4704232178361,1.05001658680369,0.664549042701028,0,0,0,0.000135335283236613,0
Beta_1.80,M450,2.02645065357429,1.98230372900375,1.59494620737827,1.11937905605532,0.721226721359421,0,0,0,0.001,0
