Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
Beta_1.80,M310,1.2526494165302,1.28274551239852,1.29021974157584,1.27407567785905,1.23505504259627,1.17553846855234,1.09923649577039,1.01074344216745,0.915712931754998,0.828169813526359,0.76510141961495,0.674302359001585,0.555870989344967,0.468273055727883,0.400165224741654,0,0,0,0,0,6.79842458392535e-110,0,0,0,0,1.02702564619635e-07,4.1610212382609e-31,1.1519838996881e-89,0,0
Beta_1.80,M311,1.03074094846179,1.06028220870279,1.06943692900507,1.05877888114221,1.03064252597619,0.987755675700702,0.932557716671075,0.867236165058016,0.794174266756774,0.716306758239516,0.637094728962312,0.578309923011889,0.487864084864477,0.422336729765462,0.364640446700176,0,0,0,0,1.83181839221579e-54,0,0,0,0,0,2.20055397271264e-31,4.1610212382609e-31,1.1519838996881e-89,0,0
Beta_1.80,M312,0.849662568938309,0.852863625480911,0.839351671959055,0.823113708264713,0.815216388496345,0.81271845116206,0.804014910555003,0.778432474246842,0.731991178602161,0.668014581548862,0.594466101833881,0.520159409325859,0.451681579390402,0.39212627838616,0.341590393242419,0,0,1.97120121862177e-65,0,0,0,0,0,0,0,2.20055397271264e-31,1.19542786593392e-16,1.1519838996881e-89,0,0
Beta_1.80,M313,0.691107988108145,0.662868194288081,0.622198521710242,0.600121698231349,0.590623118862111,0.589679911765571,0.595912845543412,0.598102977635254,0.578505020042719,0.528146208719721,0.456456608301932,0.382792872490282,0.320723763935055,0.27237438506086,0.233688420478436,0,1.24313899763175e-48,0,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M314,0.676256724528008,0.636711558820722,0.613195084981601,0.598977104798016,0.579411824756191,0.554872635436653,0.52647699404298,0.500008402693087,0.491189705126775,0.484085347571551,0.428499209103467,0.358036908376043,0.310124725775707,0.27296770694332,0.238677708976913,0,0,0,0,0,0,0,0,0,0,0,0.000774837428883276,1.1519838996881e-89,0,0
Beta_1.80,M315,0.690821569012906,0.649734210387403,0.621410837965356,0.60727013952095,0.587925450689783,0.563627666091969,0.535046902624523,0.502945487191792,0.468144027221189,0.43148685390723,0.404270239461924,0.355903700321792,0.318499583741335,0.282237677059207,0.247657006251361,0,0,0,0,0,0,0,0,0,0,8.46142680572919e-132,1.52936873145967e-125,0,0,0
Beta_1.80,M316,0.122638786035011,0.0695239092595115,0.0101659957700101,0.00036786477247656,3.12929967059302e-06,6.25721616526011e-09,2.94096741535962e-12,3.2491840809184e-16,8.43788244812642e-21,5.15071683242214e-26,7.39055287407859e-32,2.49264959730995e-38,1.97615308980429e-45,3.68260373485296e-53,1.61311170581058e-61,0,0,0,0,0,0,0,0,0,0,0,1.52936873145967e-125,0,0,0
Beta_1.80,M317,0.16307195164518,0.119549499392519,0.0469426798160074,0.00911610525889467,0.000866049573041071,4.02501975492752e-05,9.15134912495312e-07,1.01787412707037e-08,5.5385345616276e-11,1.47430557716391e-13,1.9198707420886e-16,1.22306155632683e-19,3.81168044652224e-23,5.81134282869151e-27,4.33439365862691e-31,0,0,0,0,0,0,0,0,0,0,0,7.64684365729835e-126,0,0,0
Beta_1.80,M318,0.21823353592735,0.183877986620418,0.113882919632861,0.0488734994060143,0.0145015584009969,0.00297496808916377,0.000421964916027819,4.13805988180413e-05,2.80571526302042e-06,1.31527575408581e-07,4.26301077151537e-09,9.55305859618065e-11,1.48011291858179e-12,1.58552703923214e-14,1.17429943614993e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.832986989740887,0.796044745543687,0.746175586276962,0.697119933515873,0.654988869213705,0.618767086221091,0.584923080353675,0.550778228450981,0.515277829006833,0.478447527872492,0.440769180660959,0.402843520504371,0.365260467825458,0.328555646061496,0,0,0,0,0,0,0,0,0,0,0,1.04468746205505e-146,4.1553929574979e-298,0,0
Beta_1.80,M320,0.8994612890512,0.883167943526409,0.852208695436791,0.804656048522306,0.749652846512305,0.694858339851379,0.644416817564824,0.599065291292071,0.557542936390613,0.518115993055622,0.479624917976475,0.461594753317275,0.403418312837671,0.365287650228918,0.328562089749187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.942746286010591,0.916867871462114,0.874292643887423,0.820251747105509,0.760386112969779,0.699532566588411,0.641021674565272,0.587543810457214,0.549833553023866,0.537439977877374,0.493898716954428,0.418539553289909,0.366649273809323,0.32803434720951,0,0,0,0,0,0,0,0,0,0,0,2.32997650663111e-136,6.20227624686557e-315,0,0
Beta_1.80,M322,1.01883674943077,1.00910764685487,0.987363162696627,0.950010846424552,0.900379720051994,0.843664874825581,0.788057664841385,0.743680760383153,0.713759936277385,0.683826995065597,0.630853039744628,0.550730018796653,0.46430236449261,0.392329318719956,0.338442069977632,0,0,0,0,0,0,0,0,0,0,0,3.82342182864918e-125,0,0,0
Beta_1.80,M323,1.08937471885355,1.08524457185248,1.07387256959496,1.05470048797239,1.03195719826726,1.00824581637312,0.982342494954216,0.948674315995958,0.899756328642381,0.830758246620902,0.743247482558909,0.645298964775604,0.547848801466905,0.459965677487376,0.386069472247736,0,0,0,0,0,0,0,0,0,0,0,1.52936873145967e-125,0,0,0
Beta_1.80,M324,1.2191057436805,1.24238097251706,1.2604171093705,1.2683865887,1.26379652856909,1.24372885080783,1.20561379763481,1.14815087005583,1.0720544324374,0.980325814667724,0.877914747565927,0.77086142444148,0.665199464453451,0.565964395456032,0.476574203606514,0,0,0,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M325,1.44576731692482,1.47982363160087,1.49996829765754,1.50199958209235,1.48451224897375,1.44701077383612,1.39008076319858,1.31544101865484,1.22585545035023,1.1249107626381,1.01669220052947,0.905408904031216,0.795027878627285,0.688970001644414,0.589905209279685,0,0,0,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M326,1.66868149757833,1.69358822229737,1.70073927624146,1.68823435891627,1.65616556368398,1.60538682765944,1.53747789009819,1.45465569485718,1.35964078951339,1.25549114052654,1.14541904246625,1.03260800745511,0.92004558112025,0.810385195145457,0.705845970341262,0,0,0,0,0,0,0,0,0,0,1.18466659028785e-174,1.26116635799606e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M327,1.83337111493786,1.84604022057173,1.84233136528732,1.8198486990651,1.77921183435209,1.72160425375815,1.64871405925796,1.56264885859144,1.46583096789583,1.36088042670309,1.25049393355835,1.13732768560061,1.02389129455498,0.91245857834849,0.804999268550578,0,0,0,0,0,0,0,0,0,0,0,5.0611012006128e-29,4.7832744190911e-94,0,0
