Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20
Beta_1.80,M310,1.2526494165302,1.27693893924762,1.28920701397034,1.28878498983658,1.2755095336573,1.24973454408216,1.21230510755776,1.16449682602016,1.10792713566979,1.04444948790324,0.976095971463989,0.905725554588118,0.840370677987813,0.79016867578436,0.742865145855481,0.668021104219356,0.578875102255456,0.505966635955712,0.44919303505172,0.400165224741654,0,0,0,0,0,0,0,4.41909933927092e-36,6.08336377483277e-238,0,0,0,0,1.78701131205985e-207,5.00727336030036e-16,6.68772307459985e-24,4.42858172636162e-42,4.70779224243411e-291,0,0
Beta_1.80,M311,1.03074094846179,1.05443156856095,1.06718778245319,1.0687765901136,1.05979951307627,1.04124792340879,1.01423262411701,0.979801406062034,0.93888256802166,0.89233879925635,0.841076907001243,0.786147529203949,0.728784679234418,0.670366592777913,0.61314273043757,0.574887334441082,0.503553439657054,0.452358751133092,0.406404041885991,0.364640446700176,0,0,0,0,0,4.6953567687855e-05,0,0,0,0,0,0,0,3.09052693703142e-311,3.55785612704636e-08,6.68772307459985e-24,4.42858172636162e-42,4.70779224243411e-291,0,0
Beta_1.80,M312,0.849662568938309,0.853710133097149,0.847940537285196,0.835598217848871,0.823798084777711,0.81672483462181,0.814091111234445,0.81208482087115,0.805585384182489,0.790244641408211,0.763713573697267,0.725969792406134,0.678986269589821,0.626011209347461,0.57070604055255,0.516367644700392,0.465407712715813,0.419162926984589,0.377998409874161,0.341590393242419,0,0,0,1.12868323881069e-06,0,0,0,0,0,0,0,0,0,3.09052693703142e-311,5.00983257239259e-16,5.69775523797628e-08,4.42858172636162e-42,4.70779224243411e-291,0,0
Beta_1.80,M313,0.691107988108145,0.674176300601727,0.642369906295582,0.615872471936091,0.600874751070894,0.592734435652434,0.589121972790987,0.590333507795761,0.59515879454341,0.598899794764686,0.594254985111383,0.574641753156973,0.537958932487676,0.488022812801949,0.432535167231853,0.379172880759714,0.332577281838737,0.293770595313372,0.261453920517275,0.233688420478436,0,1.089674642823e-210,1.15297600322204e-53,0,0,0,0,0,0,0,0,0,0,0,1.62128043730403e-236,6.68772307459985e-24,4.42858172636162e-42,4.70779224243411e-291,0,0
Beta_1.80,M314,0.676256724528008,0.653766927418038,0.620791333231161,0.610580678787857,0.599857405407713,0.586158605910178,0.569645414681405,0.550595495920045,0.529561872903929,0.508647668985975,0.494023906667276,0.491340113636068,0.487730063471074,0.457777372714454,0.404629860662218,0.354962113127713,0.318785226725048,0.290032416507683,0.263735388530163,0.238677708976913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62128043730403e-236,3.59550847778394e-05,4.42858172636162e-42,4.70779224243411e-291,0,0
Beta_1.80,M315,0.690821569012906,0.668834579885913,0.629942544187515,0.618764827427412,0.608140198590023,0.594598005270162,0.578262309797853,0.559381013535447,0.538235020936159,0.515130872951864,0.49039338291333,0.464358093901209,0.43736379988948,0.410042846985736,0.388215892424198,0.3539164243617,0.326299230834266,0.299235313054041,0.272954986903643,0.247657006251361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55785612702077e-08,5.57724737194577e-94,1.13142771367112e-146,0,0,0
Beta_1.80,M316,0.122638786035011,0.0953253813256087,0.0327615738275843,0.00570048568856028,0.000454181335441658,1.64869940804454e-05,2.72672787744783e-07,2.05461393983663e-09,7.0535342272845e-12,1.10324366316868e-14,7.86184035911609e-18,2.55249626864541e-21,3.77567084706774e-25,2.54455154693462e-29,7.81297609237626e-34,1.09297405641524e-38,6.96612602535249e-44,2.02283712941362e-49,2.67620034146065e-55,1.61311170581058e-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57724737194577e-94,1.13142771367112e-146,0,0,0
Beta_1.80,M317,0.16307195164518,0.139968054329144,0.083473195108308,0.0352799435883792,0.0101160624399317,0.00196747389820684,0.000259549568770496,2.32244532144064e-05,1.40956315270109e-06,5.80279773460105e-08,1.62033264324385e-09,3.06891446388582e-11,3.94256843712619e-13,3.43548100461163e-15,2.03053143140872e-17,8.14039981010677e-20,2.21358196906428e-22,4.08281155970208e-25,5.10783567394601e-28,4.33439365862691e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78862368597288e-94,5.65713856835558e-147,0,0,0
Beta_1.80,M318,0.21823353592735,0.198946812403306,0.153266259108097,0.098272835047871,0.0515709626048646,0.0221492301060698,0.00778562849058535,0.00223980578676658,0.000527361829798086,0.000101622217430781,1.60269280058306e-05,2.06868111278141e-06,2.18533719170445e-07,1.8894047765378e-08,1.33694396538078e-09,7.74253265985549e-11,3.66973353872436e-12,1.42353339710329e-13,4.51941720115712e-15,1.17429943614993e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.840293134967835,0.818079284645471,0.786086847497094,0.748873982685241,0.711975412946738,0.678479943483206,0.648961610653819,0.622406843299876,0.597321618844095,0.572466285792902,0.547111036304596,0.520980134085071,0.49409130313633,0.466612861573122,0.43877393589595,0.410818525422797,0.382984765261135,0.355495843441008,0.328555646061496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76286709602919e-112,6.23863606378946e-125,0,0,0
Beta_1.80,M320,0.8994612890512,0.888380414244867,0.871104959560836,0.843276353207258,0.807423778873964,0.767301837695638,0.726228723876696,0.68655072940974,0.649477255569462,0.615237324996461,0.583416725062053,0.553321868544202,0.524262720489163,0.495714683846608,0.468986591686896,0.460053287285077,0.41313567452238,0.383038341320096,0.355514651501179,0.328562089749187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.946549324401432,0.93284504918375,0.909134610968332,0.876869210801482,0.838207503834643,0.795446662831482,0.750738342166904,0.705872222823515,0.662159291699426,0.620508452863735,0.58247925249894,0.55383403146313,0.541697913645478,0.530317994392213,0.490048337039035,0.433130288818917,0.388213056625678,0.355953175688514,0.32803434720951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28819060623454e-103,4.89734251671316e-136,0,0,0
Beta_1.80,M322,1.01883674943077,1.01208407400024,1.00090634285124,0.980706902373181,0.952318436154758,0.917112215906454,0.87697076581036,0.8345527960748,0.793547533446683,0.75821024410172,0.731316659960929,0.711025322405186,0.689579992465166,0.656932164786773,0.607832384486845,0.54610336158106,0.481759118625364,0.423992608452043,0.37659287129382,0.338442069977632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39431184298644e-93,2.82856928417779e-146,0,0,0
