Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6
Beta_1.80,M330,1.89230509073082,1.86204090621004,1.71217851215626,1.45665958387496,1.14671646656628,0.836011995240839,0,0,0,0,7.83984929727578e-07,0
Beta_1.80,M331,1.79647795944909,1.77224090605391,1.63131337702621,1.37790549119797,1.08595975337524,0.761101246439718,0,0,0,0,8.89724561524257e-05,0
Beta_1.80,M332,1.65423629093112,1.64022116318628,1.51421036839196,1.27015119597735,0.997131130049832,0.659760651133709,0,0,0,0,5.21825109086343e-08,0
Beta_1.80,M333,1.46800725074907,1.46487076891779,1.36787752097493,1.21065436430391,0.89612924824932,0.548761523919692,0,0,0,8.70542662229894e-20,5.08388726033778e-08,0
Beta_1.80,M334,1.27570198889835,1.29538725550531,1.2909585922143,1.15588324209619,0.811858603265907,0.473152731711562,0,0,0,0.000278037300453175,5.08387428464001e-08,0
Beta_1.80,M335,1.29469304081087,1.3509360863828,1.34604726065097,1.19348496986345,0.835365984173307,0.486217165035206,0,0,0,0.000409359019505179,5.08387262425699e-08,0
Beta_1.80,M336,1.49886741311115,1.5231118692307,1.37750793418549,1.21561550195478,0.874011574412179,0.525973914083065,0,0,0,0.000835270211411251,4.95861916320057e-11,0
Beta_1.80,M337,1.72562655835362,1.73016545337419,1.48598160059732,1.2176611116291,0.921192812904746,0.587855777368208,0,0,0,3.08871540823724e-06,6.12377127737686e-06,0
Beta_1.80,M338,1.90676850828865,1.89938200120859,1.64039607024141,1.28493690439298,0.974055866349837,0.656077207227014,0,0,0,1.28533722513408e-15,3.87447767238518e-14,0
Beta_1.80,M339,2.02695193912756,2.0223870561447,1.77479163725022,1.39891718803064,1.03615263145877,0.715820659054867,0,0,0,1.88132746394025e-85,0.000486752255959985,0
Beta_1.80,M340,2.08458415092057,2.09449948347912,1.87208170187009,1.4965931967069,1.09890218232589,0.761382382531807,0,0,0,5.23864087257782e-133,2.50622198948942e-18,0
Beta_1.80,M341,2.08524238057662,2.11681019456867,1.92763142180941,1.56642256203335,1.15505961734217,0.794665863417433,0,0,0,4.54003233873003e-155,7.15797401344942e-05,0
Beta_1.80,M342,1.99410712756171,2.04771570231287,1.89588565476617,1.55636567250963,1.14041730845005,0.766414306874277,0,0,0,0,7.15797356381623e-05,0
Beta_1.80,M343,1.85214476948342,1.91572732481327,1.80471739307294,1.49752291786564,1.08508621899079,0.70597695864817,0,0,0,0,1.98919334374015e-05,0
Beta_1.80,M344,1.7289794558808,1.77319333647086,1.69590834638507,1.43931862444675,1.04115620952618,0.663838786974141,0,0,0,0,5.08386930324012e-08,0
Beta_1.80,M345,1.59302220652944,1.59482037628158,1.4940251906822,1.29452549665119,0.926678192614984,0.568473299993524,0,0,0,0,2.72252634469553e-05,0
Beta_1.80,M346,1.4327837621861,1.43908666649243,1.27926343007261,1.07464103215483,0.773429609315652,0.461741846166495,0,0,0,0,2.72252634469553e-05,0
Beta_1.80,M347,1.23485331868407,1.26103633234312,1.11311378054352,0.86285738327007,0.640137600793365,0.395751373892035,0,0,9.43055784231123e-167,0,4.49811193406495e-09,0
Beta_1.80,M348,1.01476909095952,1.04430196001391,0.941957674605761,0.758194403150275,0.560342910975409,0.364029697554699,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M349,0.840330150253542,0.813213072550255,0.806226146031911,0.708965508122505,0.506903673466976,0.34192580057567,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M350,0.685967360097326,0.602337819569603,0.591787035777207,0.562448152602333,0.370345064979994,0.234750665558754,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M351,0.676193207502635,0.603271700965749,0.539224453945011,0.490433819177196,0.347823788390326,0.239796370680239,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M352,0.690821569012906,0.610495078736703,0.546946052783433,0.453656541995265,0.348360752607851,0.247657006251361,0,0,0,0,5.76832996124936e-31,0
Beta_1.80,M353,0.121525499707539,0.000802190319543063,7.50076544783913e-11,8.24035925974234e-23,1.06365086801423e-39,1.61311170581058e-61,0,0,0,0,1.15366599224987e-30,0
