Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10
Beta_1.80,M310,1.2526494165302,1.28979425679621,1.27083957885583,1.1974484060224,1.08045154842555,0.936959493918418,0.805150214568403,0.687223846371375,0.513078334583332,0.400165224741654,0,0,0,0,0,0,0,8.36483472297411e-08,5.41738438868493e-252,0
Beta_1.80,M311,1.03074094846179,1.06790962110636,1.05646547731061,1.00353137375711,0.918839323909473,0.810938518314392,0.689868335806144,0.583996217163993,0.45772053273133,0.364640446700176,0,0,8.39911597930119e-323,0,0,0,0,8.36483472297411e-08,5.41738438868493e-252,0
Beta_1.80,M312,0.849662568938309,0.846754749969585,0.821757630186954,0.813601387292543,0.800052204426547,0.744041660254864,0.644108421346852,0.528219215919017,0.42404987599837,0.341590393242419,0,0,0,0,0,0,0,2.46794570256167e-48,5.41738438868493e-252,0
Beta_1.80,M313,0.691107988108145,0.638898291525078,0.598631938079075,0.588987546297301,0.597357793931189,0.585478702756134,0.505703983559433,0.390549130987745,0.297727240180477,0.233688420478436,0,3.33203533104171e-93,0,0,0,0,0,3.33123383166342e-51,5.41738438868493e-252,0
Beta_1.80,M314,0.676256724528008,0.619288349324217,0.597068224358965,0.563560471424443,0.519999979520213,0.491256873311605,0.471380468028546,0.364783257852783,0.293057836982114,0.238677708976913,0,0,0,0,0,0,0,1.72412093903649e-16,5.41738438868493e-252,0
Beta_1.80,M315,0.690821569012906,0.628127767736345,0.605383430830124,0.572238123106196,0.528189288121082,0.476067856090373,0.419004579279755,0.360105617726195,0.302207665997163,0.247657006251361,0,0,0,0,0,0,0,5.96198717491018e-122,0,0
Beta_1.80,M316,0.122638786035011,0.0280027940101057,0.000232656130860159,5.83363513649952e-08,4.40111696440998e-13,9.99045906257099e-20,6.82349479771335e-28,1.40225556171726e-37,8.67054434727764e-49,1.61311170581058e-61,0,0,0,0,0,0,0,1.21930854188641e-207,0,0
Beta_1.80,M317,0.16307195164518,0.0773165877975732,0.00727039307618753,0.000121206850862312,3.58214675018083e-07,1.87675036723212e-10,1.74307701173196e-14,2.86994498082836e-19,8.37678746487985e-25,4.33439365862691e-31,0,0,0,0,0,0,0,6.09654270943205e-208,0,0
Beta_1.80,M318,0.21823353592735,0.147331613168473,0.0434869982503094,0.00525534556080521,0.000260028276251416,5.26765505519591e-06,4.3690954344051e-08,1.48369005680158e-10,2.06287205786129e-13,1.17429943614993e-16,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.814986782726609,0.740495080451538,0.668227395307642,0.611160943621837,0.558468099023212,0.503129958583821,0.444979021284027,0.386064302923025,0.328555646061496,0,0,0,0,0,0,0,7.6177448936705e-235,0,0
