Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_2.05,M483,427,71,0,0,0,0,0,37,496,551,228,77,37,0
Beta_2.05,M484,444,79,0,0,0,0,0,35,505,540,219,85,45,0
Beta_2.05,M485,413,83,1,0,0,0,0,30,517,537,209,110,44,0
Beta_2.05,M486,437,81,1,0,0,0,0,24,517,532,211,113,51,0
Beta_2.05,M487,430,89,0,1,0,0,0,17,514,529,210,110,57,2
Beta_2.05,M488,422,91,0,1,0,0,0,29,519,528,181,128,62,4
Beta_2.05,M489,405,101,0,1,0,0,0,28,523,530,169,143,69,6
Beta_2.05,M490,418,101,1,0,0,0,0,31,524,520,167,150,74,10
Beta_2.05,M491,416,95,1,1,0,0,0,32,530,524,156,154,80,15
Beta_2.05,M492,421,85,3,1,0,0,0,35,541,521,154,152,82,25
Beta_2.05,M493,430,96,2,1,1,0,0,38,544,508,175,137,90,32
Beta_2.05,M494,431,101,0,2,0,0,0,34,544,514,184,115,100,42
Beta_2.05,M495,464,89,0,0,0,0,0,36,558,532,181,82,124,54
Beta_2.05,M496,446,96,0,0,0,0,0,39,544,544,178,63,146,67
Beta_2.05,M497,438,94,0,0,0,0,0,35,541,558,179,52,148,82
Beta_2.05,M498,480,79,2,0,0,0,0,21,549,569,202,53,139,97
Beta_2.05,M499,483,81,2,0,0,0,0,16,559,557,214,41,115,125
Beta_2.05,M500,500,76,0,2,0,0,0,14,537,577,215,47,65,172
Beta_2.05,M501,488,73,0,0,1,0,0,15,515,586,205,56,40,164
Beta_2.05,M502,482,74,0,0,0,1,0,8,512,579,218,49,38,175
Beta_2.05,M503,488,69,1,0,0,1,0,7,532,543,230,49,37,216
Beta_2.05,M504,468,72,0,1,0,0,1,8,521,559,190,59,31,241
Beta_2.05,M505,458,70,0,1,0,0,1,6,500,549,181,59,135,120
Beta_2.05,M506,429,80,0,0,1,0,0,0,509,547,164,87,136,84
Beta_2.05,M507,432,67,1,0,0,0,0,1,527,548,160,167,68,64
Beta_2.05,M508,429,68,1,0,0,0,0,1,522,577,235,89,57,46
Beta_2.05,M509,413,80,0,1,0,0,0,1,568,606,189,85,61,33
Beta_2.05,M510,398,71,2,0,1,0,0,38,551,607,167,88,42,32
Beta_2.05,M511,395,82,1,1,1,0,0,32,554,599,167,67,36,31
Beta_2.05,M512,383,80,0,2,0,0,0,3,586,589,169,31,34,31
Beta_2.05,M513,385,95,0,0,2,0,0,14,576,589,156,55,21,31
Beta_2.05,M514,400,99,0,0,0,1,0,25,576,580,150,40,5,36
Beta_2.05,M515,387,100,2,0,0,1,0,16,575,567,168,38,3,25
Beta_2.05,M516,388,105,2,0,0,0,1,9,569,565,188,42,0,4
Beta_2.05,M517,377,114,0,2,0,0,0,9,588,555,201,38,1,0
Beta_2.05,M518,371,111,0,2,0,0,0,9,585,547,223,48,1,0
Beta_2.05,M519,386,109,1,0,0,0,0,9,597,507,246,54,5,0
Beta_2.05,M520,380,106,2,0,0,0,0,8,606,521,247,56,2,1
Beta_2.05,M521,362,120,2,1,0,0,0,12,606,488,262,62,5,0
Beta_2.05,M522,374,118,0,2,0,0,0,14,625,462,274,71,8,0
Beta_2.05,M523,391,113,2,2,0,0,0,21,609,455,277,78,7,0
Beta_2.05,M524,383,131,2,0,1,0,0,18,625,432,279,74,8,0
Beta_2.05,M525,401,129,0,1,0,0,0,15,629,434,277,76,11,0
Beta_2.05,M526,405,126,0,1,0,0,0,18,637,447,262,81,17,0
Beta_2.05,M527,413,125,0,0,0,0,0,24,633,468,250,91,22,0
Beta_2.05,M528,430,127,0,0,0,0,0,21,637,477,235,107,29,0
Beta_2.05,M529,419,141,0,0,0,0,0,14,629,495,236,121,35,0
Beta_2.05,M530,393,159,0,0,0,0,0,10,625,496,237,120,43,0
Beta_2.05,M531,398,170,0,0,0,0,0,10,659,458,219,138,50,0
Beta_2.05,M532,401,158,0,0,0,0,0,12,660,464,208,167,58,0
Beta_2.05,M533,390,169,0,0,0,0,0,13,659,480,185,173,66,2
Beta_2.05,M534,394,171,0,0,0,0,0,24,667,452,175,177,74,6
Beta_2.05,M535,361,171,0,0,0,0,0,25,661,439,190,180,81,12
Beta_2.05,M536,370,167,1,0,0,0,0,31,649,436,172,178,94,19
Beta_2.05,M537,350,168,0,1,0,0,0,39,638,479,158,127,150,29
Beta_2.05,M538,356,177,0,1,0,0,0,21,658,489,152,113,146,39
Beta_2.05,M539,339,174,0,0,0,0,0,13,676,520,123,68,160,53
Beta_2.05,M540,371,180,2,0,0,0,0,19,663,522,125,51,161,66
Beta_2.05,M541,375,178,2,0,0,0,0,21,650,532,146,39,148,89
Beta_2.05,M542,371,167,1,2,0,0,0,17,675,523,179,58,102,121
Beta_2.05,M543,383,178,3,0,2,0,0,14,674,516,183,78,76,126
Beta_2.05,M544,379,176,0,1,1,1,0,16,658,538,164,96,42,124
