Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_1.2,u_220,50,209,111,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,3,2,0,0,0,1,1,1,0,1,1,0,0,1,3,2,0,0,1,1,1,0,3,5,0,2,3,1,3,3,0,29,492,317,19
Beta_1.2,u_221,54,209,96,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,9,6,0,0,1,0,0,2,1,3,0,1,0,0,2,3,2,0,0,0,1,2,0,1,1,3,0,1,4,1,2,7,31,482,288,20
Beta_1.2,u_222,43,267,89,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,4,2,3,2,1,7,2,4,0,0,0,0,1,0,0,0,2,0,2,3,0,1,0,3,1,2,2,2,1,6,2,3,40,482,286,27
Beta_1.2,u_223,39,274,80,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,2,3,1,0,0,0,0,0,1,2,3,3,2,0,5,3,3,2,0,1,1,2,1,1,1,1,3,3,5,0,1,5,8,51,439,334,26
Beta_1.2,u_224,40,252,106,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,4,0,6,0,0,0,0,1,0,0,1,0,3,0,1,2,3,4,3,2,1,2,6,7,3,3,2,0,1,1,0,7,35,415,326,29
Beta_1.2,u_225,42,243,122,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1,2,1,1,0,1,0,0,2,5,1,0,0,1,3,0,5,3,0,2,0,2,1,0,1,4,3,2,3,1,6,10,30,437,317,31
Beta_1.2,u_226,44,212,156,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,2,1,1,3,2,0,2,0,0,0,2,0,3,0,1,2,0,1,1,2,3,3,0,0,0,5,0,4,2,0,3,4,1,2,39,380,356,32
Beta_1.2,u_227,42,207,147,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0,2,0,0,3,2,0,3,0,1,1,0,1,3,1,0,1,5,0,2,2,0,0,2,3,7,0,0,0,9,33,400,344,29
Beta_1.2,u_228,40,216,144,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,0,1,0,0,5,2,2,0,0,0,1,0,1,0,3,1,0,0,0,4,1,1,3,1,0,2,0,0,4,1,0,3,3,2,2,5,30,425,378,24
Beta_1.2,u_229,38,207,145,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,2,2,0,0,0,1,0,3,0,1,0,2,1,1,1,1,4,1,2,4,0,2,3,5,39,426,382,19
Beta_1.2,u_230,40,205,123,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,5,1,0,1,0,3,2,0,1,0,0,1,0,0,0,0,0,2,3,0,1,1,2,1,4,1,2,4,2,3,1,10,42,459,335,26
Beta_1.2,u_231,38,202,127,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,5,3,0,1,1,0,2,0,0,0,0,1,0,3,3,0,0,1,0,0,3,3,1,0,0,2,3,5,1,3,3,5,38,468,337,27
Beta_1.2,u_232,50,204,107,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,3,2,0,0,2,1,1,0,0,0,2,1,0,2,0,1,1,1,0,1,1,3,3,0,2,2,1,6,2,1,0,33,499,304,21
Beta_1.2,u_233,56,229,94,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,7,5,0,1,0,0,0,2,2,2,0,0,1,3,1,1,3,0,0,0,2,0,1,0,3,0,2,1,1,2,5,6,38,488,296,20
Beta_1.2,u_234,51,257,88,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,1,3,4,3,0,3,6,3,2,0,0,0,1,0,0,0,2,0,2,1,0,2,0,5,1,1,2,1,1,5,1,3,6,42,472,309,28
Beta_1.2,u_235,37,267,89,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,2,0,3,1,0,0,0,0,1,1,3,2,1,2,2,6,1,3,1,0,1,0,3,1,1,1,2,3,4,2,0,1,6,9,43,448,335,23
Beta_1.2,u_236,39,266,101,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,2,4,0,0,0,1,0,0,1,0,1,1,1,1,1,5,3,4,1,1,2,7,2,6,1,2,1,2,0,0,5,33,415,331,16
Beta_1.2,u_237,39,240,123,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,1,1,0,2,1,3,1,1,0,0,1,4,2,0,0,0,2,1,3,3,2,3,0,2,1,0,0,1,4,4,3,1,1,7,10,28,428,306,26
Beta_1.2,u_238,46,201,150,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,3,1,3,1,1,0,0,0,1,5,0,2,2,0,0,0,3,5,2,0,0,0,2,1,4,3,0,3,1,4,1,6,51,387,343,23
Beta_1.2,u_239,45,208,142,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,3,0,2,0,0,1,4,0,2,2,0,2,0,0,4,0,1,0,5,0,3,0,3,0,0,2,5,3,1,0,4,5,45,385,380,34
Beta_1.2,u_240,40,217,139,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,4,3,0,0,0,1,0,1,0,2,2,0,0,0,5,1,0,3,3,0,1,1,0,3,1,1,2,3,3,1,2,4,33,411,370,22
Beta_1.2,u_241,39,205,155,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,6,0,1,0,0,0,0,2,1,0,0,0,1,0,2,1,1,0,2,1,0,1,1,4,3,0,3,3,1,1,1,7,39,439,362,20
Beta_1.2,u_242,40,208,132,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,1,0,1,4,2,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,5,0,3,0,5,2,2,3,11,37,460,343,32
Beta_1.2,u_243,42,209,115,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,6,1,0,1,1,2,0,0,0,0,1,0,4,2,0,0,1,1,0,1,2,3,1,0,0,3,4,1,1,3,2,6,39,477,342,26
Beta_1.2,u_244,48,203,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,2,0,0,1,0,1,0,0,0,1,1,1,0,2,0,1,1,1,0,1,4,4,0,0,2,3,3,3,4,0,0,43,486,312,25
Beta_1.2,u_245,58,219,100,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,8,4,1,0,0,0,1,1,3,1,0,0,2,2,0,1,1,1,1,1,1,1,0,2,0,1,2,0,1,5,5,3,36,497,274,30
Beta_1.2,u_246,45,255,86,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,1,4,4,2,0,7,2,1,1,1,0,1,0,0,0,2,0,2,1,0,0,1,3,3,0,2,1,0,2,3,3,4,3,44,492,295,23
Beta_1.2,u_247,38,278,90,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,1,4,1,2,1,1,7,0,3,1,0,0,1,1,2,0,1,3,2,3,3,1,1,2,3,7,43,452,327,34
Beta_1.2,u_248,40,259,102,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,6,1,0,0,1,0,0,0,0,0,1,0,1,3,2,4,3,2,3,0,6,2,4,3,1,1,3,1,0,0,6,41,419,312,17
Beta_1.2,u_249,37,254,119,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,2,2,0,1,0,0,3,3,0,1,0,0,1,3,3,2,3,1,2,2,0,0,1,2,4,4,1,1,6,1,10,42,418,307,31
