Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39
Beta_1.2,u_217,33,162,198,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,2,5,3,1,0,0,0,0,0,0,2,1,1,0,0,1,0,1,2,0,1,0,3,1,1,0,1,3,2,1,3,1,4,2,5,53,499,291,20
Beta_1.2,u_218,38,161,166,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,2,4,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,2,1,3,3,3,1,4,2,0,6,58,523,267,14
Beta_1.2,u_219,39,174,163,3,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,5,3,0,0,1,0,1,2,0,0,0,0,1,0,0,4,2,0,0,1,0,2,2,2,1,0,2,1,2,4,2,2,3,11,49,540,244,20
Beta_1.2,u_220,46,174,150,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,5,1,1,0,0,1,1,1,0,0,1,1,0,1,0,3,2,0,0,1,1,1,0,1,4,3,0,4,2,1,3,2,0,42,567,232,16
Beta_1.2,u_221,46,180,133,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,9,6,0,0,1,0,0,1,2,0,3,1,0,0,1,1,4,1,0,0,0,0,3,0,1,0,4,0,0,5,0,2,2,10,41,544,214,18
Beta_1.2,u_222,35,230,133,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,4,2,3,2,1,4,4,4,1,0,0,0,1,0,0,0,0,2,0,1,4,0,0,1,2,1,2,3,1,2,4,3,2,10,52,527,224,24
Beta_1.2,u_223,36,212,144,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,2,1,3,0,0,0,0,0,0,2,3,1,4,1,0,7,1,3,2,0,1,1,1,2,1,0,1,3,2,4,3,0,2,6,11,62,490,271,22
Beta_1.2,u_224,37,176,185,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,3,3,0,0,0,0,1,0,0,1,1,2,0,1,2,3,4,3,1,2,2,4,8,1,5,3,0,0,1,1,0,12,47,485,242,26
Beta_1.2,u_225,36,167,202,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,1,2,0,2,0,1,0,0,1,2,5,0,0,1,1,2,1,4,3,0,2,0,1,2,0,0,2,4,3,2,3,0,10,11,47,478,262,23
Beta_1.2,u_226,41,157,213,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,1,1,3,1,1,2,0,0,0,2,0,2,1,0,3,0,0,1,1,1,4,3,0,0,0,4,1,1,4,1,3,1,4,0,3,56,432,293,25
Beta_1.2,u_227,38,152,205,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,2,0,0,0,5,0,0,3,0,1,1,1,2,1,1,0,1,4,1,1,3,0,0,1,3,3,5,0,0,3,9,51,437,293,22
Beta_1.2,u_228,35,160,205,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,2,0,1,0,0,4,1,4,0,0,0,0,1,0,1,2,1,1,0,0,0,4,1,1,2,2,0,2,0,0,3,1,1,0,5,2,3,1,5,45,473,316,22
Beta_1.2,u_229,34,161,194,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,2,1,1,0,0,1,0,1,2,0,1,0,2,1,1,1,0,4,2,0,4,2,1,1,3,6,65,490,293,17
Beta_1.2,u_230,39,156,173,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,4,0,0,1,3,2,0,1,0,0,1,0,0,0,0,0,0,2,3,0,1,0,3,1,3,2,1,3,3,4,1,0,20,48,526,261,17
Beta_1.2,u_231,36,156,174,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,4,4,0,1,0,1,2,0,0,0,0,0,1,1,3,2,0,0,1,0,0,3,3,1,0,0,1,4,4,1,1,3,3,7,50,541,254,23
Beta_1.2,u_232,46,170,144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,4,2,0,0,2,0,1,1,0,0,1,1,1,0,2,0,1,1,1,0,1,1,1,3,2,1,3,1,2,4,3,0,2,49,559,229,18
Beta_1.2,u_233,48,197,134,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,7,5,0,1,0,0,0,2,0,4,0,0,1,0,3,1,1,3,0,0,0,2,0,1,0,2,1,1,2,0,3,2,4,7,56,536,233,15
Beta_1.2,u_234,43,217,136,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,1,3,2,3,2,1,8,1,3,1,0,0,1,0,0,0,0,2,0,2,1,0,2,0,4,1,1,2,1,2,0,5,3,1,11,60,527,237,22
Beta_1.2,u_235,32,208,153,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,1,3,1,3,1,1,5,3,2,3,0,0,1,0,3,0,1,1,2,2,3,5,0,0,2,5,12,63,494,267,22
Beta_1.2,u_236,36,186,184,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,5,0,0,0,0,1,0,0,1,0,1,1,1,1,1,5,3,3,2,1,0,8,3,6,1,1,2,1,1,0,0,8,49,468,260,15
Beta_1.2,u_237,36,161,204,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,2,2,1,1,1,0,1,1,4,1,0,0,0,3,0,4,2,2,3,0,2,1,0,0,0,3,5,1,3,1,3,5,12,52,470,241,23
Beta_1.2,u_238,41,142,213,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,1,1,3,1,3,0,2,0,0,0,1,3,2,0,2,2,0,0,0,3,5,2,0,0,0,2,1,4,3,0,3,0,4,2,0,8,65,438,279,20
Beta_1.2,u_239,39,151,205,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,3,0,2,0,0,0,4,1,1,3,0,1,1,0,0,4,1,0,0,5,0,3,0,3,0,0,1,3,5,1,1,0,4,12,51,443,320,23
Beta_1.2,u_240,36,165,195,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,1,0,1,4,2,1,0,0,0,1,0,1,2,0,2,0,0,0,5,1,0,3,2,1,1,1,0,3,0,2,1,3,1,3,3,0,6,49,458,309,18
Beta_1.2,u_241,34,158,205,3,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,1,1,0,2,0,1,0,2,4,3,0,1,4,1,1,1,5,5,56,499,285,18
Beta_1.2,u_242,39,161,179,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,1,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,2,0,3,2,2,1,3,2,2,4,6,12,47,514,277,28
