Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48
Beta_1.6,u_115,4,67,59,307,117,4,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,1,3,3,3,0,3,3,2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,2,1,2,1,6,2,2,4,7,2,3,3,2,1,3,4,2,10,29,72,512,390,87,45,2
Beta_1.6,u_116,6,62,58,280,116,4,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,1,0,0,0,0,0,0,1,1,0,1,2,0,0,2,4,5,0,1,0,1,2,0,1,1,1,4,1,1,1,2,1,2,5,4,5,7,17,82,535,392,69,31,6
Beta_1.6,u_117,9,69,50,294,116,2,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,1,1,0,0,3,1,4,3,0,2,3,0,1,0,0,2,4,1,1,1,0,1,0,0,0,0,1,1,2,2,2,1,5,2,1,4,4,7,0,1,3,2,1,6,18,95,489,350,105,31,3
Beta_1.6,u_118,6,66,71,284,109,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,1,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,9,0,2,1,0,1,5,1,0,1,0,2,1,1,3,2,4,0,1,0,1,0,3,3,1,1,0,1,4,0,0,1,2,1,2,2,6,23,83,507,391,99,31,0
Beta_1.6,u_119,10,68,53,325,108,6,0,0,0,0,1,0,0,2,1,1,0,1,0,1,1,0,2,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,4,1,3,1,1,2,2,1,0,0,1,0,4,6,2,1,3,0,1,0,2,5,1,0,0,2,2,1,1,2,3,2,2,2,3,1,1,5,8,18,80,561,328,66,24,6
Beta_1.6,u_120,5,66,49,343,106,5,1,1,1,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,1,1,0,0,1,5,3,4,0,1,2,0,0,1,0,1,1,3,0,1,4,2,0,2,1,2,2,1,1,4,0,5,6,2,4,3,2,5,3,3,5,0,0,4,27,97,523,344,81,33,2
Beta_1.6,u_121,12,45,63,338,115,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,5,3,3,4,2,1,3,1,0,0,0,1,4,0,1,2,2,3,1,1,1,1,0,1,1,3,5,5,4,3,1,6,1,3,3,0,4,8,28,99,522,312,81,24,2
Beta_1.6,u_122,9,62,70,330,89,3,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,5,4,4,1,1,1,2,1,0,0,1,2,5,1,2,1,6,1,4,1,6,1,2,0,2,0,3,6,0,1,2,3,3,2,1,2,0,2,6,25,83,506,342,85,52,3
Beta_1.6,u_123,2,68,67,323,92,5,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,1,4,3,2,1,1,1,2,3,1,2,1,1,2,1,0,2,3,2,1,1,0,0,0,3,1,6,1,4,1,6,4,3,4,3,3,0,2,6,20,67,493,399,84,36,2
Beta_1.6,u_124,10,54,60,306,110,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,1,3,2,1,0,1,1,0,3,1,3,1,0,3,0,2,2,1,3,0,0,0,4,0,3,2,3,2,1,0,2,3,1,2,2,1,0,5,5,20,85,521,405,81,31,2
Beta_1.6,u_125,4,68,56,307,133,4,1,0,0,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,1,1,2,0,0,0,2,2,4,1,2,1,5,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,3,1,3,3,2,2,4,0,4,4,3,4,1,0,6,2,3,7,25,78,521,384,81,47,2
Beta_1.6,u_126,6,61,56,300,119,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,1,0,0,2,1,1,0,3,1,4,4,0,1,0,0,1,1,1,3,1,1,2,2,0,2,1,6,2,5,4,9,18,80,553,395,92,29,1
Beta_1.6,u_127,11,67,48,295,98,4,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0,2,3,2,3,1,2,2,0,1,0,0,1,6,1,0,0,2,0,0,0,0,0,3,0,1,1,2,3,3,2,4,2,4,6,2,0,1,3,1,7,17,90,530,336,96,35,3
Beta_1.6,u_128,4,72,67,305,104,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,6,4,2,0,1,2,1,3,0,1,1,3,0,2,3,1,1,3,0,1,1,1,1,2,6,1,0,0,2,1,1,1,0,4,1,0,2,6,25,89,498,393,92,32,0
Beta_1.6,u_129,6,74,56,329,101,2,0,0,0,0,0,1,0,1,0,3,0,0,0,1,1,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,3,0,3,1,2,1,0,0,0,6,2,2,2,1,1,1,1,1,0,5,1,0,0,2,4,1,0,5,1,3,1,0,3,1,2,6,7,17,76,570,328,81,27,5
Beta_1.6,u_130,7,63,51,327,105,7,0,1,2,1,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,1,1,0,0,2,3,5,2,0,1,1,0,1,0,0,0,2,2,2,0,0,3,0,1,1,2,1,1,1,4,6,3,5,3,1,1,4,2,5,2,4,1,0,9,19,91,536,326,91,39,0
Beta_1.6,u_131,8,46,64,339,114,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,7,2,4,0,2,3,0,0,0,5,0,1,1,2,2,1,1,2,1,2,0,0,2,1,4,3,4,1,5,1,3,4,0,2,1,5,10,32,80,505,345,82,22,4
Beta_1.6,u_132,9,60,69,335,110,4,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,2,6,1,0,2,2,0,2,0,1,1,2,1,5,4,1,3,4,2,2,4,3,1,0,1,4,3,1,2,1,3,2,0,3,1,2,1,1,2,5,11,77,489,362,79,48,4
Beta_1.6,u_133,3,72,58,337,97,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,3,4,1,2,1,1,3,3,3,0,0,0,1,1,2,1,1,3,1,0,0,1,0,3,1,5,4,2,5,5,3,4,3,3,1,0,5,4,18,68,515,373,113,34,3
