Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41
Beta_1.4,u_185,36,77,324,53,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,12,2,5,0,4,0,1,0,0,1,0,1,0,1,0,2,1,0,0,2,0,4,3,2,0,2,1,2,1,7,1,5,2,6,38,353,541,51,8
Beta_1.4,u_186,33,65,349,54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1,6,3,1,1,0,1,2,1,4,2,1,5,2,1,4,1,2,1,1,0,1,1,2,0,1,0,3,3,0,3,1,4,6,2,43,350,473,78,17
Beta_1.4,u_187,28,64,389,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,1,0,0,0,0,0,1,7,1,1,4,0,1,1,0,0,3,3,0,1,0,0,1,2,2,6,4,3,1,4,2,2,3,3,2,1,1,1,1,1,10,34,330,503,84,7
Beta_1.4,u_188,21,72,414,67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,3,2,2,0,1,1,1,1,1,3,1,1,0,3,2,1,1,0,1,1,0,5,2,0,3,0,1,1,1,4,8,5,2,7,7,54,336,498,89,8
Beta_1.4,u_189,18,61,413,67,0,0,0,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,2,0,0,0,1,4,0,1,1,2,0,0,1,0,1,0,1,0,3,5,1,3,2,3,2,2,1,0,1,1,2,5,2,7,34,330,499,80,25
Beta_1.4,u_190,13,60,392,59,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,1,0,1,1,2,0,0,0,0,1,0,1,1,3,2,0,0,1,4,0,0,1,2,3,0,1,0,4,5,3,2,8,40,298,539,108,11
Beta_1.4,u_191,32,48,365,55,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,1,1,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,1,2,0,0,2,0,6,3,0,1,3,2,3,6,37,309,598,79,20
Beta_1.4,u_192,32,59,344,55,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,6,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,0,2,5,4,1,0,1,4,0,10,32,336,602,84,13
Beta_1.4,u_193,33,56,321,69,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,7,0,3,0,0,2,1,0,1,1,1,0,1,0,0,2,1,0,0,0,2,2,1,0,2,1,1,3,0,0,5,2,3,3,32,363,588,75,14
Beta_1.4,u_194,25,83,318,61,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,5,1,3,1,1,0,0,0,3,1,1,3,1,0,0,3,3,1,0,3,3,0,2,2,1,1,2,0,0,0,1,3,1,6,41,350,597,49,13
Beta_1.4,u_195,35,73,320,61,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,1,1,0,0,0,0,2,3,0,3,3,0,1,0,0,0,0,4,0,2,3,0,1,1,5,3,3,1,3,0,2,10,39,359,566,54,9
Beta_1.4,u_196,38,73,355,59,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,10,5,2,4,5,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,2,0,3,3,2,2,2,1,0,3,4,4,3,6,38,369,529,47,10
Beta_1.4,u_197,29,65,354,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,6,0,4,1,0,1,0,1,8,1,3,0,4,4,4,3,1,0,1,1,0,2,0,1,0,3,2,0,1,2,4,2,3,11,41,339,490,70,14
Beta_1.4,u_198,29,60,399,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,0,0,2,0,1,4,3,1,3,1,1,1,0,1,0,3,1,0,1,1,2,0,0,2,10,2,3,0,3,5,5,2,3,2,0,1,1,1,8,37,306,517,76,15
Beta_1.4,u_199,21,66,415,71,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,2,2,0,0,2,1,1,1,1,2,1,0,0,3,3,0,2,0,1,0,1,4,1,1,4,0,1,0,0,6,9,7,3,9,54,339,495,99,7
Beta_1.4,u_200,18,65,407,55,1,0,0,3,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,4,1,1,1,1,0,0,0,1,0,1,1,0,1,3,7,3,1,0,3,3,1,1,1,1,0,4,4,11,39,333,486,103,27
Beta_1.4,u_201,14,64,392,62,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,1,0,2,0,0,1,0,4,2,0,0,0,1,0,0,0,1,0,4,1,1,1,0,4,1,3,1,1,1,1,0,2,6,4,3,8,33,304,551,87,14
Beta_1.4,u_202,33,46,372,62,2,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,1,1,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,1,1,1,1,1,1,5,1,1,3,4,5,5,34,292,610,96,19
Beta_1.4,u_203,31,59,340,51,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,5,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,1,2,0,1,8,4,0,2,1,3,4,26,352,592,78,13
Beta_1.4,u_204,29,59,329,73,0,0,0,2,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,7,0,3,0,0,0,3,1,0,1,1,0,0,1,1,0,2,0,0,0,1,1,1,3,0,1,1,2,1,4,1,3,1,4,35,368,602,63,9
Beta_1.4,u_205,25,79,327,58,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,1,0,5,0,1,0,0,2,2,0,2,3,0,0,0,5,2,1,3,0,4,0,1,1,0,1,2,0,0,0,2,2,4,30,359,601,49,7
Beta_1.4,u_206,33,71,316,58,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,0,1,0,0,3,1,1,0,2,3,1,1,0,0,0,3,1,0,3,3,0,1,1,5,4,2,1,3,3,9,53,362,557,59,4
Beta_1.4,u_207,37,70,336,55,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,7,5,2,2,5,5,1,0,1,0,0,1,0,1,2,1,0,0,0,2,2,2,1,1,5,5,1,0,0,1,4,2,5,9,29,351,526,45,9
Beta_1.4,u_208,29,64,378,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,1,6,0,3,0,2,0,0,0,2,5,2,5,2,1,7,5,1,1,2,0,1,0,0,1,4,2,0,1,0,3,4,2,0,8,44,334,485,68,11
Beta_1.4,u_209,28,60,401,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,2,0,0,0,1,1,0,1,5,2,1,0,3,2,0,2,0,0,0,4,0,2,2,0,0,0,1,5,6,3,3,3,1,6,6,2,1,3,0,0,2,10,39,328,493,82,19
Beta_1.4,u_210,21,69,405,63,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,3,3,2,0,0,2,0,2,0,1,3,3,0,0,2,3,2,0,0,1,1,1,0,5,3,0,3,0,0,1,3,10,4,7,7,45,327,510,88,13
Beta_1.4,u_211,21,60,419,57,0,0,3,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,5,0,0,0,0,0,4,1,0,2,1,0,0,0,2,0,1,1,2,2,2,7,1,1,1,4,2,2,0,1,2,2,7,7,47,315,513,95,18
Beta_1.4,u_212,15,61,385,66,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,1,4,1,0,0,0,0,0,1,0,1,3,1,1,1,3,2,1,0,2,1,2,0,0,2,7,2,9,46,313,536,95,11
Beta_1.4,u_213,36,45,376,59,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,1,0,1,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,3,4,1,0,1,0,3,0,1,1,1,3,3,2,2,3,8,36,301,604,87,16
Beta_1.4,u_214,30,64,337,54,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,8,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,2,1,0,2,0,1,3,6,5,1,2,1,5,32,347,618,79,12
Beta_1.4,u_215,26,66,315,68,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,5,5,2,1,2,0,0,0,4,1,0,0,1,0,1,2,0,0,1,1,1,0,2,1,1,2,0,1,2,3,4,1,2,0,7,35,344,601,72,6
Beta_1.4,u_216,24,72,328,67,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,5,1,0,0,5,1,0,0,0,3,0,2,2,1,0,0,1,2,7,2,2,0,0,1,1,3,0,0,3,0,1,2,0,4,23,365,599,57,3
Beta_1.4,u_217,32,77,320,59,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,1,1,0,1,2,0,0,2,0,1,1,5,2,0,0,0,1,2,1,0,3,1,2,0,2,2,7,2,3,2,11,43,356,580,39,5
Beta_1.4,u_218,42,64,335,60,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,5,3,3,0,9,1,1,1,0,0,0,0,2,2,0,1,0,1,0,0,4,1,2,2,5,4,1,0,0,4,1,2,13,34,345,542,45,8
Beta_1.4,u_219,26,66,382,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,1,5,1,0,3,2,0,0,0,0,2,7,3,4,1,3,8,3,0,2,1,1,0,0,3,1,3,0,1,1,2,1,3,2,10,47,339,479,81,19
Beta_1.4,u_220,29,60,404,67,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,2,1,0,0,0,1,1,1,0,5,2,2,0,3,1,2,0,1,0,0,0,4,0,3,0,1,0,1,0,4,5,3,6,1,2,8,2,2,2,2,1,4,7,39,333,504,82,20
Beta_1.4,u_221,23,68,410,70,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,4,1,1,1,0,2,1,1,0,0,4,1,0,1,3,2,1,1,0,1,0,1,3,4,1,1,1,1,2,1,3,7,6,8,39,340,497,87,9
Beta_1.4,u_222,21,53,419,60,0,1,2,1,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,0,0,0,0,0,1,2,1,1,0,2,1,0,0,3,2,3,1,0,0,5,2,1,0,4,4,1,1,1,1,3,3,10,49,316,516,109,23
Beta_1.4,u_223,17,63,398,66,3,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,1,3,0,0,0,0,1,1,0,3,1,1,0,0,0,0,1,0,1,3,3,2,1,2,3,0,0,3,1,2,0,0,5,5,9,37,309,560,86,15
Beta_1.4,u_224,36,43,367,62,1,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,2,0,1,0,0,1,4,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,3,1,1,2,1,2,0,1,1,1,5,2,3,4,9,37,311,616,85,22
Beta_1.4,u_225,26,62,333,63,2,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,9,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,1,1,0,2,1,1,1,0,0,1,1,3,3,6,2,2,8,34,352,620,71,12
Beta_1.4,u_226,27,64,315,65,0,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,5,5,2,0,3,0,0,0,1,3,3,0,0,1,1,0,3,0,0,2,2,0,1,1,1,1,0,3,3,3,1,4,0,2,3,44,353,611,71,7
Beta_1.4,u_227,26,78,318,51,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,5,0,1,0,0,6,1,0,0,3,1,0,2,1,0,3,1,1,2,5,4,0,1,0,1,1,3,0,0,3,2,0,2,4,29,379,579,64,2
