Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_1.8,u_080,16,87,83,74,144,50,15,4,2,5,1,1,0,0,1,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,0,2,0,0,0,1,6,2,4,5,4,0,1,1,1,0,2,2,1,2,2,0,3,8,5,6,2,5,8,3,3,2,4,9,5,3,5,7,9,15,16,34,66,227,302,169,77,32,6
Beta_1.8,u_081,6,64,85,103,151,57,13,3,2,2,1,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,0,2,3,2,0,0,0,0,1,2,5,1,3,5,3,7,2,3,3,1,1,0,2,4,1,0,1,2,0,4,3,3,5,3,4,6,5,3,11,11,11,11,17,27,69,208,295,158,91,55,13
Beta_1.8,u_082,16,53,72,92,138,70,19,3,4,0,2,0,1,2,3,1,0,1,1,0,0,0,0,1,0,0,0,1,1,2,1,2,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1,1,4,0,1,4,6,2,2,5,2,5,7,3,6,2,3,4,3,8,2,0,7,8,10,7,8,12,20,69,186,292,188,135,51,2
Beta_1.8,u_083,6,64,66,104,147,53,22,6,3,4,1,0,2,0,1,2,3,1,0,0,0,1,1,1,0,1,1,1,0,0,2,0,0,1,0,0,0,0,1,0,3,0,4,1,0,0,1,2,3,2,1,0,4,1,1,2,1,1,0,1,2,0,1,0,0,1,1,1,0,3,7,2,3,6,6,8,12,9,10,10,11,19,31,85,197,287,184,102,57,3
Beta_1.8,u_084,13,62,62,124,116,47,10,3,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,4,0,1,2,0,3,0,3,1,0,1,0,0,0,1,1,1,0,0,3,0,2,0,0,1,1,2,3,1,0,2,0,1,1,2,5,1,1,2,1,3,3,0,2,1,3,5,3,3,10,16,8,14,22,41,91,241,278,171,108,51,13
Beta_1.8,u_085,15,64,91,111,133,34,8,0,3,0,2,0,1,5,1,0,1,2,1,1,2,1,1,2,0,1,0,0,0,0,0,0,0,2,1,3,1,0,2,0,2,2,0,0,0,0,1,1,2,6,4,4,1,0,0,3,0,0,2,1,1,1,2,1,1,6,0,3,6,3,2,2,2,4,5,6,7,11,10,11,14,15,35,86,244,275,199,107,54,5
Beta_1.8,u_086,5,79,91,98,113,28,10,5,2,2,1,2,0,0,1,0,1,0,2,0,1,1,3,1,0,2,0,0,2,1,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,2,0,1,3,3,1,0,2,2,3,2,0,2,3,0,1,6,4,5,3,2,1,6,3,1,4,3,4,3,0,6,10,8,6,14,18,45,114,231,308,225,60,30,8
Beta_1.8,u_087,17,74,73,91,103,47,9,5,4,8,3,2,0,1,3,1,0,0,0,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,3,2,1,3,1,4,4,1,0,2,3,1,2,2,2,2,1,4,1,4,1,1,1,6,6,5,6,14,10,10,10,9,18,46,94,236,299,187,75,32,4
Beta_1.8,u_088,10,83,84,65,117,57,14,2,9,2,2,2,2,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,2,1,7,2,2,0,2,3,2,0,2,3,0,1,2,0,4,3,5,3,2,6,3,4,9,1,1,5,2,4,5,3,3,9,13,15,44,80,205,311,197,93,48,8
Beta_1.8,u_089,8,84,80,82,116,55,15,3,2,2,2,0,0,1,1,1,1,1,0,1,0,1,1,0,0,2,0,0,3,1,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,2,4,5,5,1,1,1,2,1,1,2,1,4,1,2,2,6,4,5,4,6,1,1,4,4,8,2,0,5,2,5,9,5,13,8,17,37,53,200,302,210,114,59,6
