Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_ 1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_1.6,u_394,9,62,54,426,52,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,2,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,2,1,1,2,0,1,1,0,0,5,3,1,1,0,0,1,2,1,0,0,2,1,0,1,6,2,3,2,7,2,1,0,2,12,47,380,509,114,38,4
Beta_1.6,u_395,4,59,64,442,61,1,1,0,2,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,2,3,3,3,1,0,1,2,1,0,0,0,2,2,2,1,0,3,1,2,1,2,0,1,2,1,1,4,4,2,1,0,1,4,2,1,3,5,13,47,391,561,137,20,2
Beta_1.6,u_396,11,61,40,404,51,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,3,0,0,2,0,1,0,0,1,5,1,2,2,0,0,0,1,2,2,2,2,1,2,0,7,3,2,1,3,4,4,2,3,2,3,2,15,48,398,558,82,33,7
Beta_1.6,u_397,6,79,37,403,52,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,5,3,3,2,1,3,2,0,0,0,0,3,0,0,0,0,0,2,2,2,0,0,2,1,6,2,3,1,2,2,3,2,3,3,3,1,4,2,17,44,387,598,102,22,6
Beta_1.6,u_398,8,76,42,409,45,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,4,0,2,2,2,0,3,2,1,0,0,1,2,0,0,5,2,0,1,0,1,0,1,2,1,2,2,1,3,2,2,1,2,2,8,6,15,41,393,577,89,37,5
Beta_1.6,u_399,17,61,47,404,56,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,0,0,4,5,0,2,2,0,1,1,2,0,1,0,1,2,0,3,1,2,3,3,1,2,1,0,1,2,4,2,2,8,3,0,0,4,1,5,11,48,383,575,82,50,2
Beta_1.6,u_400,9,59,74,409,54,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,3,3,5,0,1,1,0,1,0,1,1,3,3,3,2,2,1,2,1,2,0,1,2,3,0,3,0,1,2,1,4,2,2,4,5,2,2,5,19,52,392,564,88,30,1
Beta_1.6,u_401,5,63,57,432,56,2,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,4,2,1,0,0,0,2,0,0,3,3,1,2,1,3,0,0,3,0,1,3,3,2,6,3,6,5,2,2,2,1,3,1,3,2,4,16,47,377,526,85,23,1
Beta_1.8,u_001,12,81,79,81,108,52,17,6,1,2,4,1,0,2,1,1,0,0,0,1,2,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,6,2,4,1,3,1,0,1,4,2,5,4,1,0,1,1,0,0,3,7,4,3,1,4,1,3,5,2,5,6,5,5,4,9,16,30,60,93,238,249,169,71,68,3
Beta_1.8,u_002,7,92,81,65,103,64,16,8,2,2,4,2,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,1,0,1,3,0,0,0,0,0,0,1,4,3,8,3,1,0,1,1,2,1,2,0,0,2,2,1,3,4,0,2,0,3,1,7,8,2,0,3,3,7,3,3,9,12,14,28,54,99,197,292,183,92,44,6
