Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.4,u_359,47,102,347,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,5,1,1,0,1,1,1,0,1,2,0,0,2,2,2,0,4,1,2,4,2,0,1,1,1,2,3,0,6,14,133,821,90,10
Beta_1.4,u_360,44,107,353,5,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,11,5,1,0,0,0,1,1,0,2,0,0,2,1,2,2,2,1,2,1,0,1,3,2,3,5,2,3,6,16,116,773,88,22
Beta_1.4,u_361,41,99,389,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,1,0,0,2,6,2,2,0,1,4,3,5,0,5,0,2,0,0,3,1,1,1,0,1,1,1,4,1,3,3,0,2,1,12,125,740,132,12
Beta_1.4,u_362,39,105,408,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,2,0,0,2,8,3,4,0,0,0,1,2,1,1,1,5,4,0,1,6,5,2,0,6,1,0,1,2,1,7,1,1,4,11,127,689,137,12
Beta_1.4,u_363,30,102,431,6,0,0,1,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,2,5,4,0,3,0,2,4,0,1,4,4,1,0,1,1,2,3,1,3,1,2,5,3,1,2,8,3,2,5,17,123,697,136,12
Beta_1.4,u_364,20,97,454,11,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,2,3,1,0,3,3,3,4,1,0,2,0,2,0,4,0,2,3,6,0,1,0,0,2,4,6,3,19,127,682,140,12
Beta_1.4,u_365,30,68,425,17,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,4,3,1,1,1,0,2,3,7,2,1,2,2,2,3,3,0,4,8,16,109,709,145,21
Beta_1.4,u_366,33,66,410,7,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,2,0,0,3,4,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,3,4,4,3,2,1,2,2,9,4,15,114,766,154,19
Beta_1.4,u_367,38,63,390,12,1,0,0,1,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,3,3,0,0,0,4,2,1,0,0,0,1,3,2,1,0,1,0,0,0,1,1,1,2,2,1,1,3,4,5,18,128,774,148,16
Beta_1.4,u_368,34,86,347,5,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,3,6,2,4,0,0,0,0,0,1,0,0,1,1,3,3,2,0,1,2,2,3,2,1,1,1,1,2,2,3,14,126,806,139,22
Beta_1.4,u_369,45,89,346,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,4,1,0,0,2,1,0,2,2,4,3,1,0,0,0,0,1,1,3,0,1,2,3,2,5,2,0,2,1,18,125,824,110,14
Beta_1.4,u_370,46,97,354,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,4,1,4,0,1,0,0,1,1,2,0,0,0,3,2,1,0,3,2,1,4,2,1,1,1,1,2,2,2,14,131,827,84,12
Beta_1.4,u_371,42,105,357,10,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,11,1,4,0,0,0,1,0,2,1,2,0,0,2,2,3,1,1,0,4,0,0,3,2,4,0,4,2,6,20,129,760,82,19
Beta_1.4,u_372,43,108,375,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,0,2,6,1,1,3,2,2,5,5,0,1,5,0,2,1,0,2,0,1,1,3,2,1,0,5,2,1,1,3,0,15,121,734,116,16
