Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_355,88,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,1,3,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,5,2,1,2,1,1,3,2,4,27,525,181
Beta_1.0,u_356,87,228,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,2,0,0,1,7,2,3,18,589,133
Beta_1.0,u_357,72,224,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,3,2,2,1,1,4,23,590,121
Beta_1.0,u_358,86,211,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,2,1,0,2,3,1,0,0,2,2,34,579,139
Beta_1.0,u_359,90,195,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,1,2,1,1,3,3,0,4,2,21,542,162
Beta_1.0,u_360,84,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,1,1,3,2,0,0,2,2,1,3,20,565,151
Beta_1.0,u_361,88,224,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,4,0,1,0,0,0,0,3,2,1,1,2,0,0,1,1,0,0,1,0,1,0,4,1,3,34,565,137
Beta_1.0,u_362,95,226,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,1,3,0,1,0,2,3,1,2,0,0,0,1,0,2,1,2,0,4,0,0,0,1,2,2,17,576,145
Beta_1.0,u_363,94,237,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,8,1,2,2,0,2,0,1,4,2,1,1,0,0,3,2,2,1,2,4,0,31,573,111
Beta_1.0,u_364,78,253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,1,0,8,3,3,1,2,1,1,2,1,4,4,2,0,1,1,33,559,115
Beta_1.0,u_365,91,257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,1,0,0,2,2,3,1,0,2,3,0,9,0,4,4,0,2,0,7,30,522,142
Beta_1.0,u_366,97,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,1,0,0,1,0,1,2,1,1,0,1,1,0,0,1,1,2,4,1,0,0,4,0,9,5,28,503,144
Beta_1.0,u_367,88,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,1,0,1,1,1,4,1,0,0,0,1,0,1,0,2,1,1,0,2,0,2,0,1,4,4,4,26,507,148
Beta_1.0,u_368,97,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1,4,0,0,1,0,2,0,0,1,0,0,0,4,1,2,1,0,1,2,1,1,3,1,0,2,3,0,28,513,157
Beta_1.0,u_369,83,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,1,7,2,0,1,2,2,4,2,26,527,179
Beta_1.0,u_370,79,221,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,1,2,1,1,3,5,3,27,593,138
Beta_1.0,u_371,76,207,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,4,1,2,2,0,3,27,585,118
Beta_1.0,u_372,80,204,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,2,1,0,0,2,4,0,1,1,3,38,566,147
Beta_1.0,u_373,83,216,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,3,1,1,1,4,1,2,1,2,37,559,155
Beta_1.0,u_374,85,212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,1,3,1,1,1,0,2,4,1,26,565,147
Beta_1.0,u_375,81,232,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,3,0,0,4,0,1,0,0,2,1,2,1,0,1,1,1,0,0,1,1,1,0,0,0,1,4,2,32,580,142
Beta_1.0,u_376,93,234,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,7,3,2,0,2,0,1,3,2,1,1,0,0,0,0,2,2,2,2,0,0,0,2,3,1,35,575,133
Beta_1.0,u_377,88,242,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,7,2,2,2,0,3,1,0,2,3,2,2,2,2,0,0,2,3,1,3,24,591,124
Beta_1.0,u_378,84,247,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,1,0,0,1,2,8,1,2,2,3,1,3,0,3,5,3,1,2,2,30,550,118
Beta_1.0,u_379,92,271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,0,2,0,3,2,2,1,1,2,0,9,3,3,2,2,1,4,32,509,131
Beta_1.0,u_380,101,251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,0,0,0,0,1,1,3,0,0,1,1,0,1,0,0,1,2,3,2,1,0,3,6,7,39,504,126
Beta_1.0,u_381,86,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,2,0,1,1,0,2,4,0,0,0,0,0,0,1,0,3,1,0,1,3,0,0,2,1,2,7,36,504,154
Beta_1.0,u_382,90,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,4,0,0,1,0,0,2,0,0,0,1,0,0,5,2,0,1,2,1,1,1,1,3,3,2,1,2,25,532,154
Beta_1.0,u_383,95,218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,2,1,0,1,7,0,1,1,3,3,3,28,541,185
Beta_1.0,u_384,83,218,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,2,0,2,2,2,0,7,3,25,593,117
Beta_1.0,u_385,79,212,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,2,1,3,1,0,2,2,29,585,144
Beta_1.0,u_386,89,203,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,1,1,1,0,1,3,3,1,0,5,37,576,151
Beta_1.0,u_387,84,196,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,1,1,2,4,0,2,2,1,1,29,567,154
Beta_1.0,u_388,90,209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,1,0,1,0,0,0,0,1,1,3,0,0,1,1,0,3,1,1,1,2,2,2,30,552,150
Beta_1.0,u_389,91,222,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,3,0,3,3,0,1,1,2,0,0,2,1,0,2,1,0,0,1,2,0,0,0,0,2,0,3,32,567,145
Beta_1.0,u_390,88,231,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,6,1,2,2,1,1,0,3,3,3,1,0,0,0,0,0,3,2,0,4,0,1,3,1,0,32,573,142
