Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33
Beta_1.2,u_194,48,276,51,0,2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,4,3,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,2,6,3,0,3,5,4,2,1,3,3,18,240,581,31
Beta_1.2,u_195,53,268,45,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,2,5,3,0,0,2,0,1,2,0,0,0,1,0,0,4,1,3,0,1,1,3,2,0,1,2,7,7,2,24,249,561,25
Beta_1.2,u_196,62,272,43,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,6,0,1,2,0,0,2,1,1,0,0,2,2,0,1,3,0,0,0,3,2,0,5,1,4,2,1,4,19,289,524,31
Beta_1.2,u_197,70,266,29,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,3,2,9,4,0,0,1,1,0,1,2,0,3,0,1,1,3,2,0,0,0,2,1,1,1,3,1,0,5,2,17,275,507,45
Beta_1.2,u_198,56,316,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,4,0,1,3,3,5,3,3,0,0,0,0,1,0,0,0,4,0,3,1,0,1,4,4,3,2,3,4,15,280,517,30
Beta_1.2,u_199,54,311,31,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,1,4,3,1,1,0,1,0,0,0,2,2,2,3,1,5,2,4,2,0,2,1,3,2,1,0,2,5,5,0,25,271,500,32
Beta_1.2,u_200,48,316,39,1,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,6,0,2,5,0,0,1,0,2,0,0,2,3,3,1,2,2,4,3,5,0,7,4,3,0,1,1,4,18,260,511,31
Beta_1.2,u_201,54,307,39,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,1,1,1,3,3,0,0,1,3,0,1,0,1,3,5,1,0,2,5,2,3,1,0,3,3,1,0,2,2,3,6,2,25,240,496,37
Beta_1.2,u_202,56,307,47,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,2,0,2,1,2,0,3,2,0,1,0,1,0,1,3,4,1,0,0,2,3,4,4,0,0,5,2,6,1,3,3,15,248,504,52
Beta_1.2,u_203,55,300,49,3,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1,3,2,1,0,2,1,0,0,3,0,1,2,3,0,0,3,1,1,1,2,3,4,3,0,0,3,5,4,1,17,201,587,49
Beta_1.2,u_204,54,283,52,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,5,0,4,1,0,0,0,1,1,1,2,1,2,0,0,3,0,2,2,0,3,0,2,2,2,1,5,3,17,216,602,31
