Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38
Beta_1.2,u_103,33,230,142,1,0,3,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,3,4,0,5,0,1,1,0,0,0,1,1,0,2,1,2,1,0,6,4,4,4,1,3,3,0,2,0,1,1,3,6,50,481,255,16
Beta_1.2,u_104,40,203,164,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,1,1,5,1,0,0,7,1,0,3,5,1,1,0,2,1,2,2,2,1,1,0,5,3,6,1,6,46,457,272,24
Beta_1.2,u_105,48,162,177,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,2,0,1,3,5,1,1,0,0,0,1,0,0,0,1,1,0,3,1,1,5,1,1,0,7,3,0,1,5,2,1,0,2,1,3,5,52,411,310,26
Beta_1.2,u_106,47,166,169,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,1,1,3,0,0,2,1,0,5,2,1,0,1,0,2,0,0,0,2,1,2,0,1,1,0,1,1,1,4,5,1,0,8,2,8,43,403,337,36
Beta_1.2,u_107,41,174,172,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,5,0,4,0,0,0,1,1,0,1,0,3,1,0,1,5,3,0,3,0,1,0,2,0,0,1,2,2,0,2,1,2,3,46,434,368,24
Beta_1.2,u_108,34,194,181,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,3,4,2,0,1,0,1,0,0,0,2,5,1,0,0,1,2,0,0,2,0,3,0,2,1,3,4,2,2,2,1,3,2,5,35,498,326,28
Beta_1.2,u_109,34,187,155,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,3,1,0,1,3,0,0,1,0,1,0,0,2,0,0,0,0,1,6,0,3,2,2,2,1,1,1,4,5,2,5,12,45,512,308,20
Beta_1.2,u_110,37,186,150,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,1,1,1,0,0,2,0,1,0,0,1,0,0,3,0,0,1,0,3,1,0,3,2,3,1,0,5,6,3,1,3,7,39,529,274,21
Beta_1.2,u_111,43,192,139,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,4,2,5,0,0,0,1,0,0,1,0,1,0,0,2,2,0,0,3,0,0,2,0,3,1,0,2,3,4,0,1,6,8,33,508,285,18
Beta_1.2,u_112,52,197,103,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,1,7,4,0,0,1,0,1,0,1,8,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,3,1,6,5,44,517,245,24
Beta_1.2,u_113,47,245,115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,3,1,0,0,1,3,0,4,7,1,1,1,0,1,0,0,0,1,0,0,0,1,0,6,1,0,0,1,0,3,1,2,0,2,3,2,0,8,43,494,259,22
Beta_1.2,u_114,37,242,119,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,2,4,0,1,0,0,0,0,1,0,3,3,6,1,1,3,0,0,0,0,0,0,1,2,0,3,1,1,8,2,2,2,2,4,56,483,267,17
Beta_1.2,u_115,33,224,151,0,1,1,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,6,1,6,1,0,0,0,0,0,1,0,1,0,1,4,0,0,3,5,6,2,4,3,0,0,4,1,0,1,2,0,8,50,472,259,15
Beta_1.2,u_116,38,202,159,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0,0,1,0,4,2,1,0,6,4,1,2,2,3,1,1,1,0,3,2,1,2,2,0,3,3,6,2,3,2,50,469,263,29
Beta_1.2,u_117,44,170,197,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,2,2,4,3,1,0,0,0,0,0,1,0,0,1,2,0,1,2,5,3,1,0,6,3,2,0,5,3,1,1,1,2,3,1,9,41,415,324,26
