Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35
Beta_1.2,u_268,52,225,75,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,1,0,1,1,0,1,1,0,2,1,0,1,0,0,2,4,3,0,1,0,3,2,2,2,3,2,5,31,378,418,39
Beta_1.2,u_269,56,234,67,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,8,1,0,0,1,1,1,0,0,2,0,2,0,1,2,0,0,3,0,1,3,0,1,1,0,1,4,4,2,5,33,389,403,37
Beta_1.2,u_270,56,265,57,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,1,2,4,3,0,6,1,0,2,1,0,1,0,2,0,1,1,0,0,0,2,2,1,3,1,0,1,4,1,2,4,6,25,387,393,46
Beta_1.2,u_271,52,277,61,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,0,0,0,1,4,2,1,0,2,6,1,3,0,1,0,1,0,1,0,4,1,4,2,0,1,3,3,1,6,28,406,378,15
Beta_1.2,u_272,46,300,56,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,8,1,0,0,1,0,0,0,0,1,0,1,0,5,5,2,0,2,3,6,3,2,2,1,4,1,2,0,4,6,33,348,388,26
Beta_1.2,u_273,45,282,60,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,0,5,1,0,1,0,4,2,1,0,0,0,2,1,2,3,2,2,4,2,0,2,0,7,3,0,0,3,9,5,1,26,327,412,33
Beta_1.2,u_274,53,277,74,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,1,0,3,3,0,2,0,0,0,4,0,0,2,1,2,2,4,2,1,0,0,2,2,3,1,3,1,3,1,2,3,0,10,28,320,416,32
Beta_1.2,u_275,52,258,83,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,2,1,0,2,2,0,0,5,0,1,2,0,1,1,2,1,1,0,5,2,1,0,0,3,1,2,4,4,1,0,2,5,3,5,29,306,426,49
Beta_1.2,u_276,51,259,85,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,3,5,0,0,1,1,0,2,0,0,0,4,3,1,0,4,0,1,0,1,2,2,3,0,6,1,1,0,2,3,8,24,309,492,27
Beta_1.2,u_277,38,257,96,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,0,1,1,1,0,0,0,2,0,2,0,2,0,1,1,0,5,3,1,2,3,0,1,1,3,4,1,29,298,496,29
Beta_1.2,u_278,43,241,85,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,0,6,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,3,0,2,1,2,2,1,1,9,3,6,25,344,455,39
Beta_1.2,u_279,45,250,65,2,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,6,1,0,2,0,0,0,0,2,5,0,0,1,0,2,0,0,0,1,1,0,3,5,2,0,0,5,2,3,6,18,361,471,20
Beta_1.2,u_280,50,235,86,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,6,0,1,0,1,1,0,1,1,0,2,0,0,1,0,1,1,2,5,0,1,1,1,2,2,3,2,0,6,5,23,377,415,40
Beta_1.2,u_281,57,251,62,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,6,1,0,1,0,1,0,0,1,1,1,0,2,0,0,1,2,0,1,3,1,2,1,0,0,3,5,0,4,5,28,400,393,26
Beta_1.2,u_282,63,269,57,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,2,6,0,1,3,3,1,1,1,0,0,3,0,1,1,0,0,0,2,1,1,1,2,1,0,2,3,0,4,3,5,28,403,385,44
Beta_1.2,u_283,51,269,63,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,4,0,0,1,1,3,2,0,1,2,5,2,1,2,0,1,0,0,0,4,1,1,2,3,1,1,3,3,3,2,25,390,391,15
