Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47
Beta_1.8,u_174,14,60,79,84,110,55,11,4,4,1,6,3,0,2,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,0,3,1,1,0,0,1,0,1,2,1,2,3,0,5,2,3,2,7,4,3,2,1,5,2,6,4,6,3,4,15,7,4,14,22,29,56,82,223,248,110,71,41,10
Beta_1.8,u_175,12,77,69,93,108,64,20,7,4,4,2,2,0,1,0,0,3,1,1,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,2,0,1,3,2,0,2,1,1,0,0,0,1,1,2,3,3,4,2,0,3,3,0,0,1,0,3,1,2,3,0,1,2,2,3,4,5,7,9,2,5,4,8,8,4,9,12,15,20,28,51,94,214,229,131,71,38,5
Beta_1.8,u_176,9,65,64,83,126,60,27,10,3,1,1,2,0,1,0,0,0,0,0,2,0,1,0,1,1,0,4,0,1,1,3,0,0,0,0,3,0,1,2,0,0,0,3,2,0,0,0,0,2,0,2,0,5,3,2,0,1,3,2,4,3,2,1,2,3,1,3,4,2,1,1,5,5,1,0,2,1,7,13,14,7,6,5,14,17,26,67,106,206,236,132,110,35,4
Beta_1.8,u_177,5,55,69,82,123,64,19,10,6,1,0,3,4,3,1,3,0,0,1,1,3,0,0,1,2,0,0,0,0,0,2,1,2,0,1,2,0,0,0,1,1,0,0,0,2,1,0,0,1,0,4,3,1,2,1,1,0,2,3,2,2,2,0,1,4,3,3,2,1,1,2,2,3,3,1,2,6,5,5,9,7,13,13,11,12,31,46,87,200,246,172,86,60,9
Beta_1.8,u_178,8,52,86,86,89,52,15,11,3,8,6,0,2,0,4,1,0,1,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,2,1,0,0,2,2,2,4,4,3,1,2,3,3,1,0,6,7,1,3,7,12,9,5,12,16,18,25,32,105,202,274,173,87,55,10
Beta_1.8,u_179,8,73,69,69,91,60,18,4,4,3,2,1,2,1,0,0,1,1,0,0,4,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,3,2,0,3,0,3,2,2,2,0,1,3,0,0,0,4,1,0,1,0,0,0,4,5,1,4,6,7,13,10,15,14,10,13,9,12,27,52,115,227,250,157,93,46,14
Beta_1.8,u_180,13,70,68,75,115,49,23,8,4,2,0,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,4,5,4,3,1,2,4,2,3,0,1,5,0,2,0,1,1,1,4,4,3,3,7,7,4,4,4,6,4,7,7,3,4,8,8,16,28,55,132,254,271,168,45,38,2
Beta_1.8,u_181,12,81,80,70,111,47,13,4,4,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,3,2,5,0,3,0,5,2,4,3,6,4,2,4,2,2,1,6,5,6,5,2,3,3,6,4,3,9,2,3,9,7,14,19,35,66,116,213,247,141,66,29,2
Beta_1.8,u_182,11,77,81,83,101,53,18,11,1,1,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,0,0,3,2,5,1,0,1,2,3,0,0,2,4,3,2,0,1,7,0,2,3,2,2,5,1,3,13,8,9,5,6,12,5,14,13,18,30,33,56,109,211,229,137,70,27,10
Beta_1.8,u_183,14,65,66,92,117,61,27,14,3,1,0,2,2,2,1,1,1,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,2,3,1,2,3,1,4,0,4,3,2,1,2,1,3,6,3,0,3,5,1,1,7,3,1,4,3,4,2,5,4,16,10,10,11,9,11,29,49,89,222,224,137,72,37,1
Beta_1.8,u_184,7,56,73,94,121,60,22,10,6,1,1,3,3,1,1,0,1,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,2,2,1,0,0,0,0,2,0,2,0,0,0,1,2,0,1,4,2,0,2,1,3,2,4,1,0,3,5,1,0,3,6,4,2,5,4,4,3,8,8,5,10,8,9,4,4,9,14,15,41,111,190,236,116,74,56,20
Beta_1.8,u_185,7,61,76,80,92,47,18,12,3,0,0,0,2,1,0,0,0,2,2,0,1,1,2,0,1,0,2,0,0,0,0,1,2,1,1,1,2,1,1,2,1,1,1,0,1,0,0,0,0,4,0,2,1,0,1,0,3,1,0,0,3,1,3,2,1,3,5,0,1,2,4,0,4,12,3,5,1,3,6,6,7,13,6,12,21,27,38,102,194,246,155,109,58,7
Beta_1.8,u_186,8,51,83,87,99,51,13,7,3,6,3,4,3,2,2,1,0,2,2,3,1,1,2,0,0,2,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,1,1,5,1,2,2,2,3,1,4,0,1,0,1,1,1,0,1,2,2,1,2,1,3,3,3,4,5,7,3,10,5,10,6,7,5,18,23,56,87,235,235,148,81,45,7
Beta_1.8,u_187,12,58,73,75,103,69,9,7,3,4,0,1,1,0,2,2,3,1,1,0,0,2,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,1,4,1,0,0,0,0,0,0,1,1,1,3,2,2,1,1,2,2,1,2,2,2,3,1,0,1,1,4,1,2,7,3,1,2,3,4,3,5,8,7,7,4,9,14,19,30,45,139,236,255,179,64,32,3
Beta_1.8,u_188,21,62,72,69,91,51,29,6,5,3,0,0,1,1,1,0,0,1,1,0,2,0,0,2,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,1,0,1,0,1,1,4,4,0,1,0,1,0,1,1,0,1,2,3,1,2,0,2,2,5,11,7,7,10,10,8,10,7,11,17,37,77,121,230,231,155,86,35,0
