Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_49,B1_50,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48,B2_49,B2_50
Beta_1.4,u_252,14,62,127,323,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,1,0,0,0,1,6,0,0,1,1,2,3,1,0,0,0,1,0,4,4,0,2,2,0,2,5,2,0,3,2,2,3,1,1,0,0,1,1,3,0,3,1,0,0,2,4,22,158,583,163,32,5
Beta_1.4,u_253,18,47,133,341,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,2,1,4,1,1,3,0,0,2,3,0,0,1,0,1,0,2,0,1,2,4,0,2,0,1,0,0,0,3,5,1,0,3,2,1,5,3,1,7,2,6,2,3,27,165,567,158,39,1
Beta_1.4,u_254,8,54,132,362,15,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,2,1,4,0,2,0,1,0,1,3,1,0,0,2,0,3,0,0,1,0,4,3,0,1,1,2,0,2,0,3,1,0,4,2,2,0,0,0,1,3,7,10,38,153,596,164,44,5
Beta_1.4,u_255,11,46,121,358,22,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,3,0,2,2,0,2,0,1,1,4,1,0,0,1,1,1,2,1,2,2,3,5,0,1,3,0,1,2,8,27,165,545,173,57,17
Beta_1.4,u_256,8,50,108,340,22,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,1,0,3,1,1,2,0,0,3,2,1,4,1,1,2,3,2,7,27,158,588,205,32,10
Beta_1.4,u_257,15,51,98,339,15,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,0,2,1,2,1,2,2,2,2,1,4,25,151,646,177,36,11
Beta_1.4,u_258,24,41,97,296,22,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,2,2,2,0,1,0,1,3,2,2,3,8,29,170,676,170,31,7
Beta_1.4,u_259,14,55,107,272,18,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,8,0,1,0,1,2,0,1,0,0,2,0,0,0,3,1,0,0,0,1,1,4,1,1,0,1,1,0,3,1,1,0,5,0,0,2,1,1,0,3,7,27,163,682,162,38,6
Beta_1.4,u_260,18,64,108,286,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,1,0,0,0,0,1,3,3,0,2,1,1,0,2,2,1,1,1,0,1,2,0,1,0,2,5,0,2,1,0,1,5,0,0,0,0,2,8,32,164,679,151,35,0
Beta_1.4,u_261,14,67,134,268,20,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,4,2,3,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,1,3,2,2,1,1,2,0,0,2,3,1,0,2,2,4,3,1,7,5,26,154,677,129,15,1
