Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40
Beta_1.4,u_006,33,54,361,41,0,0,1,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,3,0,0,0,0,3,4,0,3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,3,2,0,3,3,3,1,3,4,1,37,262,662,87,18
Beta_1.4,u_007,28,70,337,42,2,3,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,1,0,0,4,5,1,5,0,0,0,1,3,2,0,0,3,0,0,1,1,0,2,0,0,0,3,2,1,2,3,0,1,3,2,1,3,5,26,291,652,96,9
Beta_1.4,u_008,33,63,322,48,1,0,2,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0,4,5,1,0,0,1,0,2,0,1,0,2,7,0,0,2,0,0,4,3,5,0,0,4,0,1,1,1,2,2,0,2,1,9,24,287,666,79,10
Beta_1.4,u_009,28,87,323,48,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,12,1,1,0,1,3,1,1,1,1,0,2,0,1,0,0,3,0,2,2,0,3,6,1,1,2,1,1,4,5,0,4,7,33,291,647,57,5
Beta_1.4,u_010,41,72,326,58,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,7,0,0,0,1,4,1,9,1,0,2,1,0,1,1,2,2,1,1,0,2,0,2,0,1,1,2,4,0,5,0,7,6,32,288,596,73,7
Beta_1.4,u_011,33,87,335,36,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,4,8,2,4,1,1,0,3,1,0,2,0,0,0,0,2,2,6,5,4,1,0,3,2,0,0,2,3,3,6,4,2,0,4,32,280,552,87,15
Beta_1.4,u_012,31,68,388,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,2,7,2,0,3,1,0,2,1,0,0,4,3,1,0,0,0,3,4,3,3,2,0,0,1,1,1,5,3,8,3,1,7,3,32,271,532,103,11
Beta_1.4,u_013,24,79,385,60,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,6,2,0,1,1,2,1,1,4,1,4,0,0,4,2,1,3,2,1,0,1,6,3,1,2,0,0,4,4,1,4,2,10,33,293,564,81,9
Beta_1.4,u_014,18,69,403,51,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,6,3,0,1,0,1,1,2,2,2,3,0,1,2,1,2,1,0,2,1,3,6,0,1,6,1,1,4,2,0,4,8,7,36,275,529,86,14
Beta_1.4,u_015,26,50,388,51,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,1,0,0,1,2,0,0,0,2,1,0,3,0,3,1,1,2,0,0,1,0,5,1,2,1,2,1,1,5,2,2,2,1,4,4,5,6,37,273,567,99,15
Beta_1.4,u_016,30,50,388,39,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,0,3,1,0,3,0,1,3,1,1,2,2,4,2,3,1,4,34,244,610,109,16
Beta_1.4,u_017,32,53,353,36,0,0,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,2,0,0,0,0,3,3,2,1,1,0,1,1,0,1,0,0,2,1,1,0,0,1,0,2,0,0,1,0,1,2,2,3,1,3,3,4,0,9,33,261,665,96,19
Beta_1.4,u_018,26,69,324,45,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,2,0,0,4,4,1,3,4,0,0,0,1,0,3,1,2,1,0,0,1,2,0,0,2,1,0,2,2,4,1,1,2,2,2,3,1,5,27,291,667,88,10
Beta_1.4,u_019,32,63,328,48,0,1,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,2,0,0,1,2,5,1,0,0,0,1,1,0,0,2,0,3,4,3,0,0,0,3,1,0,6,1,2,1,0,3,0,2,1,1,0,4,4,33,290,674,74,8
Beta_1.4,u_020,28,89,319,37,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,9,3,2,0,1,1,2,2,1,0,2,0,1,0,0,1,1,2,0,2,1,1,5,4,2,2,0,0,1,0,6,7,4,31,299,633,59,10
Beta_1.4,u_021,44,73,326,50,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,9,2,0,0,0,2,1,7,1,4,0,2,0,1,1,1,2,2,0,1,0,2,1,1,0,2,1,3,1,2,3,4,11,38,292,584,78,9
Beta_1.4,u_022,33,86,348,42,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,3,9,0,3,4,0,0,0,4,2,0,2,0,0,0,1,2,2,1,7,1,3,0,3,3,0,0,4,3,6,2,2,1,3,30,283,561,95,17
Beta_1.4,u_023,30,70,396,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,1,2,0,0,1,6,1,1,1,3,1,1,2,0,0,0,5,1,2,0,2,0,3,7,2,2,1,0,0,1,1,2,2,6,5,6,0,7,35,285,541,107,12
Beta_1.4,u_024,23,79,394,51,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,1,5,1,1,1,1,2,0,3,0,2,2,3,1,2,2,2,0,4,3,0,2,0,5,1,2,1,1,1,5,4,4,1,7,33,288,554,81,16
Beta_1.4,u_025,19,71,404,52,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,5,1,3,0,1,0,1,2,4,1,3,1,1,0,2,2,0,1,0,4,3,4,1,2,4,2,2,3,4,1,2,2,13,45,266,549,113,15
Beta_1.4,u_026,24,50,400,42,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,0,1,0,0,2,2,0,0,0,1,0,2,0,4,0,2,1,0,3,0,0,1,1,2,2,4,3,1,1,1,3,3,2,1,1,3,5,9,38,276,559,100,21
Beta_1.4,u_027,30,50,382,40,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,3,0,2,3,0,2,3,0,3,0,3,1,2,3,4,3,7,35,238,624,89,18
Beta_1.4,u_028,30,53,354,38,0,3,1,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,2,1,0,1,0,0,3,3,0,3,1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,2,1,0,0,1,1,0,3,3,4,1,6,0,3,9,34,274,668,84,13
