Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32
Beta_2.10,M582,69,60,61,112,109,88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,18,11,7,31,420,114,155,172,157,87,89,73,56,36,30,49,14,11,11,14,5,0,7,9,3,12,19,0,0,0
Beta_2.10,M583,64,55,52,117,105,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,15,7,34,416,113,154,160,156,85,68,97,55,34,19,55,17,8,11,12,12,7,7,1,8,2,19,8,0,0
Beta_2.10,M584,67,70,47,108,113,84,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,7,18,31,404,118,146,175,145,82,81,85,70,20,48,38,22,12,13,8,12,8,6,4,4,2,3,23,0,0
Beta_2.10,M585,64,59,42,115,101,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,6,7,40,416,119,148,165,127,82,83,90,90,37,38,28,22,16,10,9,9,11,4,6,2,1,3,22,0,0
Beta_2.10,M586,60,55,49,101,99,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,5,23,416,113,155,166,117,82,93,101,75,50,26,46,16,15,8,14,6,6,9,2,4,2,3,18,1,0
Beta_2.10,M587,53,50,43,112,101,97,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,5,5,29,412,111,143,171,106,99,95,103,52,46,31,40,29,12,9,7,6,4,4,7,3,4,6,11,0,0
Beta_2.10,M588,55,52,41,114,95,102,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,4,33,429,99,152,164,87,111,97,121,43,49,37,29,25,19,15,7,7,4,3,3,5,13,3,0,0,0
Beta_2.10,M589,51,56,35,109,104,99,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,10,4,36,421,93,154,183,66,111,97,96,43,58,49,25,17,25,16,10,7,7,5,10,0,0,3,0,0,0
Beta_2.10,M590,42,55,31,132,103,106,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,18,36,419,96,150,180,65,116,116,75,34,41,44,39,18,34,18,20,16,5,2,0,0,0,2,0,0,0
Beta_2.10,M591,45,49,32,124,109,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2,0,11,34,423,100,157,171,65,105,137,66,32,43,26,44,11,21,19,14,13,10,5,1,0,0,0,3,0,0
Beta_2.10,M592,44,50,28,126,107,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,39,435,99,151,176,76,101,144,76,48,48,31,39,18,8,21,7,12,12,8,5,6,2,0,5,0,0
Beta_2.10,M593,41,51,28,137,87,112,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,26,450,99,154,168,81,89,131,85,67,52,18,30,24,14,21,5,5,6,8,4,6,6,8,5,4,0
Beta_2.10,M594,39,40,37,142,85,111,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,20,434,112,163,171,82,72,124,70,67,54,32,15,25,21,25,8,7,7,10,5,5,6,8,14,9,0
Beta_2.10,M595,37,38,39,144,84,127,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,20,411,121,178,164,79,60,124,77,67,54,44,18,10,24,31,7,8,7,7,7,5,5,8,13,8,0
Beta_2.10,M596,33,30,45,122,77,120,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,27,400,112,167,187,85,59,119,78,60,64,33,26,7,16,43,7,5,6,6,8,4,5,7,13,7,0
Beta_2.10,M597,34,39,41,125,76,134,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,30,369,131,172,177,106,64,117,75,68,57,41,33,9,21,31,11,5,7,5,4,4,5,6,13,6,0
Beta_2.10,M598,25,48,41,114,79,133,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,31,336,169,158,181,103,83,95,94,65,60,45,37,21,22,21,8,6,7,5,3,4,5,6,12,6,0
Beta_2.10,M599,27,49,45,116,72,143,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,43,317,183,163,155,105,75,105,114,61,68,46,41,21,31,10,2,8,5,4,3,4,4,6,12,5,0
Beta_2.10,M600,27,35,52,114,66,142,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,2,51,306,198,152,161,91,75,94,130,85,48,49,49,22,33,3,2,2,8,4,3,3,4,6,12,4,0
Beta_2.15,M300,159,214,33,19,55,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,5,2,8,22,104,79,135,73,68,80,132,135,103,77,79,131,76,30,24,27,19,11,16,12,15,14,18,20,1,0
Beta_2.15,M301,172,210,24,16,56,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,3,3,20,102,72,136,64,77,90,136,152,110,72,69,121,69,29,24,32,14,18,13,11,17,14,18,28,0,0
Beta_2.15,M302,155,222,19,15,55,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,3,2,2,22,103,87,125,70,95,79,144,139,106,79,67,117,75,19,29,20,24,16,16,13,14,16,17,29,5,0
Beta_2.15,M303,157,229,17,16,58,7,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,8,32,109,92,122,64,79,79,138,141,111,80,68,109,85,18,21,21,24,18,15,15,15,14,19,27,13,0
Beta_2.15,M304,153,239,15,32,52,11,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17,7,6,21,99,83,121,65,80,90,145,137,95,96,69,108,87,17,16,17,17,22,14,17,17,14,18,27,20,0
Beta_2.15,M305,159,238,11,29,51,15,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,5,3,5,23,104,64,132,71,77,97,146,127,103,80,82,100,95,19,13,19,11,19,18,16,11,13,17,23,31,0
