Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_2.20,M497,24,35,113,143,5,66,29,40,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,7,2,4,142,128,61,97,172,117,185,125,53,51,89,61,61,54,36,31,49,67,35,14,11,0,1,1,5,11,0,0,1,3,0,0,0,0,0,0,0,0
Beta_2.20,M498,27,35,117,153,10,67,50,17,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,12,3,7,135,131,56,97,166,123,179,117,63,50,93,66,54,41,37,32,26,42,82,9,4,2,2,0,6,13,0,0,0,1,0,0,0,0,0,0,0,0
Beta_2.20,M499,20,40,103,150,16,62,48,19,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,1,2,13,6,131,143,50,94,159,136,178,103,78,54,93,67,53,38,35,29,17,22,58,57,9,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M500,22,39,95,145,16,62,47,28,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,6,11,15,135,142,46,94,168,125,187,104,78,53,95,74,45,25,25,38,16,11,20,67,47,2,0,2,1,22,5,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M501,21,36,106,146,19,58,47,22,1,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,11,3,15,145,139,65,93,164,132,186,89,72,60,105,61,54,35,31,35,13,11,10,19,73,21,1,2,1,20,4,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M502,24,51,92,139,17,59,52,18,3,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,5,7,6,11,140,130,34,114,154,154,184,97,64,50,120,56,47,34,29,31,17,15,11,13,19,68,10,5,2,16,5,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M503,32,80,54,147,22,59,55,15,2,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,3,12,7,148,134,30,80,179,155,199,96,61,35,125,48,31,32,41,36,18,15,15,12,8,20,63,5,0,12,6,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M504,35,79,39,141,20,59,58,12,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,3,7,10,157,143,33,72,115,203,224,93,74,28,108,37,35,25,23,42,32,18,11,12,11,6,26,59,6,8,4,5,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M505,40,81,29,138,17,57,61,14,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,8,16,154,139,37,57,109,187,225,112,82,20,81,51,52,20,28,20,30,17,21,6,10,7,7,30,46,2,6,6,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M506,37,68,34,127,14,61,59,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,12,20,149,131,35,53,107,198,212,102,104,26,72,53,34,36,18,6,8,25,15,5,5,7,7,7,40,36,6,2,2,0,0,0,0,0,0,0,0,0
