Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_2.20,M369,71,105,182,13,79,15,91,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,2,15,147,132,157,160,59,58,54,158,179,86,170,60,62,72,61,34,28,14,9,10,5,4,8,9,5,0,0,0,0,0,0,0,0,0,0,0,4
Beta_2.20,M370,65,96,185,13,77,14,94,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,4,16,159,126,152,158,67,55,55,109,234,82,121,102,58,63,49,38,26,25,20,11,3,3,4,5,10,3,1,1,0,0,0,0,0,0,0,0,9
Beta_2.20,M371,59,86,191,14,77,15,87,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,19,164,126,143,139,78,55,51,103,224,90,107,90,80,78,35,29,14,29,29,10,6,2,2,2,3,4,3,1,2,1,2,0,0,0,0,0,12
Beta_2.20,M372,58,86,186,18,76,14,92,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,21,177,118,140,142,66,70,56,105,234,77,92,73,74,79,61,42,10,22,28,18,5,4,3,3,1,2,4,0,3,1,1,2,2,3,5,14,0
Beta_2.20,M373,49,76,200,23,68,12,98,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,23,185,113,141,137,75,58,59,122,214,93,100,45,79,76,47,49,43,17,26,21,11,3,4,3,1,0,1,1,1,1,2,1,2,3,6,6,0
Beta_2.20,M374,41,87,203,29,61,7,95,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,28,193,114,131,148,73,52,58,111,180,143,92,42,59,72,53,41,41,31,45,4,11,5,3,2,1,0,1,1,1,1,1,2,2,3,6,0,0
Beta_2.20,M375,36,75,199,65,27,9,106,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,30,189,124,134,144,81,50,54,114,157,166,95,45,43,74,52,56,22,31,28,39,7,6,3,3,2,0,1,1,1,2,1,2,2,5,1,0,0
Beta_2.20,M376,33,68,201,79,8,10,104,13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,7,4,22,197,123,141,136,89,44,62,110,160,169,103,50,39,63,51,35,30,28,54,33,6,7,8,5,1,2,1,0,1,1,2,1,2,6,0,0,0
Beta_2.20,M377,25,84,209,80,10,11,119,10,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,1,6,18,207,119,148,123,114,50,60,118,153,156,106,51,53,39,45,47,42,44,43,25,8,8,8,7,4,7,1,1,1,1,1,1,3,6,0,0,0
Beta_2.20,M378,23,63,203,76,11,14,125,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,1,2,3,14,203,130,144,121,117,47,64,112,159,106,155,53,82,25,53,41,31,25,48,28,16,7,6,5,4,7,1,0,1,1,1,2,2,6,0,0,0
