Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44
Beta_1.95,M594,46,90,37,39,52,66,95,70,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,196,251,151,106,64,148,94,92,58,37,34,39,37,39,26,20,6,7,3,8,11,7,10,12,15,17,35,58,30,0,0,0,0,0,0
Beta_1.95,M595,51,91,40,44,50,64,86,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,196,250,156,108,71,143,89,88,62,44,38,34,42,36,24,28,6,6,1,3,9,9,9,11,22,28,36,61,9,0,0,0,0,0,0
Beta_1.95,M596,59,84,42,44,52,62,73,82,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,19,185,233,168,111,75,146,89,101,55,44,37,31,38,48,19,31,9,6,1,2,5,18,16,18,24,21,21,45,15,0,0,0,0,0,0
Beta_1.95,M597,64,70,43,27,52,58,76,89,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,13,205,226,174,117,74,112,106,100,55,48,35,35,39,49,21,29,18,10,9,8,12,10,9,11,14,16,23,39,19,0,0,0,0,0,0
Beta_1.95,M598,67,58,50,49,60,60,85,78,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,17,215,223,149,134,85,49,164,102,61,49,36,37,41,51,39,29,25,5,2,2,2,3,14,11,14,16,23,34,19,0,0,0,0,0,0
Beta_1.95,M599,79,40,53,53,57,57,90,68,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,2,23,223,223,156,124,90,51,161,118,71,60,37,35,36,36,38,18,30,4,4,1,3,2,12,12,15,16,21,32,16,0,0,0,0,0,0
Beta_1.95,M600,81,25,67,43,56,53,90,73,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,3,1,3,24,240,232,160,108,103,55,129,139,67,47,38,40,34,31,43,15,24,12,5,2,3,2,9,13,13,16,22,30,12,0,0,0,0,0,0
Beta_2.00,M300,54,50,70,95,17,8,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,2,15,18,19,28,55,72,108,89,31,37,63,61,29,37,27,25,19,17,17,43,21,15,20,19,1,1,10,27,121,49,0,0,0,0
Beta_2.00,M301,54,49,66,96,24,5,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,20,21,23,32,50,67,108,91,34,33,61,52,25,23,29,28,18,17,17,31,32,11,9,10,13,23,20,25,78,90,0,0,0,0
Beta_2.00,M302,50,46,55,89,21,7,8,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,21,20,23,29,50,70,107,87,33,32,55,62,24,28,23,23,16,9,11,30,24,26,7,7,8,10,14,48,97,103,0,0,0,0
Beta_2.00,M303,37,57,65,97,19,5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,17,14,22,29,49,71,112,86,38,31,52,69,25,23,20,23,16,12,9,14,19,2,19,12,9,9,10,36,89,134,0,0,0,0
Beta_2.00,M304,46,51,60,102,22,5,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,19,17,21,25,49,74,114,85,41,30,39,76,30,20,20,24,15,12,10,10,24,15,1,7,0,5,16,31,81,151,0,0,0,0
Beta_2.00,M305,43,51,56,98,25,6,9,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,15,20,20,26,46,76,110,81,44,34,35,53,50,21,18,25,17,11,12,11,26,12,1,2,8,0,0,18,105,212,0,0,0,0
Beta_2.00,M306,46,56,49,97,24,7,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,30,21,24,40,82,108,81,44,33,33,49,62,22,19,22,20,13,11,10,14,23,0,1,0,0,7,69,117,136,0,0,0,0
Beta_2.00,M307,47,53,44,101,24,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,29,21,22,38,85,108,76,52,37,33,43,57,24,20,21,23,14,10,11,12,23,1,0,27,39,29,35,99,82,0,0,0,0
Beta_2.00,M308,58,54,50,98,25,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,29,26,30,38,84,110,73,52,35,33,41,46,40,20,22,22,14,15,13,36,50,28,19,13,12,10,26,77,85,0,0,0,0
Beta_2.00,M309,52,52,51,101,22,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,26,29,30,36,88,109,76,52,39,36,45,40,40,22,35,46,40,31,21,26,36,12,7,7,7,7,21,71,13,0,0,0,0
Beta_2.00,M310,53,58,46,102,27,8,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,22,31,32,40,87,111,74,63,53,62,57,55,44,38,31,33,27,20,17,16,24,20,5,5,5,6,19,61,3,0,0,0,0
Beta_2.00,M311,54,63,47,105,23,7,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,27,29,46,60,102,112,83,71,60,41,45,48,41,33,31,28,31,18,16,16,20,28,4,9,4,5,18,58,0,0,0,0,0
Beta_2.00,M312,51,71,50,101,23,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,18,9,6,28,29,40,51,88,105,85,83,48,38,46,41,31,30,31,34,23,18,14,14,17,30,5,6,5,4,15,51,0,0,0,0,0
Beta_2.00,M313,53,69,44,100,23,10,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,1,0,5,7,7,12,30,34,32,52,89,97,87,77,49,41,39,50,39,25,29,33,28,15,16,14,19,27,12,3,3,4,14,43,0,0,0,0,0
Beta_2.00,M314,51,69,46,104,26,9,10,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,8,6,5,1,1,2,8,26,29,39,52,88,99,94,75,43,42,38,46,39,28,26,28,28,18,14,13,16,23,18,3,3,3,13,37,0,0,0,0,0
Beta_2.00,M315,34,71,46,103,23,9,13,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,2,1,1,1,1,2,1,14,30,30,42,58,88,102,90,72,49,42,33,44,45,31,29,20,26,22,16,12,16,19,27,2,4,3,13,30,0,0,0,0,0
Beta_2.00,M316,31,71,43,105,26,8,12,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,1,1,3,3,2,5,13,31,33,45,59,97,100,76,71,45,40,38,37,43,36,26,21,24,21,18,11,11,17,33,3,3,3,13,24,0,0,0,0,0
Beta_2.00,M317,40,76,36,98,27,9,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,4,5,3,3,5,3,12,30,31,46,62,99,109,61,71,44,47,42,39,42,41,23,18,20,17,16,12,13,18,31,11,2,4,12,18,0,0,0,0,0
Beta_2.00,M318,44,70,41,97,29,11,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,5,3,3,2,3,2,5,9,30,35,42,61,105,107,51,65,45,41,44,34,43,43,25,19,18,15,16,13,13,17,26,25,2,3,7,20,0,0,0,0,0
Beta_2.00,M319,43,76,36,90,32,12,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,4,4,2,3,2,2,2,9,30,33,36,61,106,107,47,63,50,44,37,36,40,42,29,16,17,14,14,15,14,17,26,30,2,4,4,18,0,0,0,0,0
