Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43
Beta_2.15,M396,73,103,265,25,8,64,34,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,3,2,3,6,20,127,124,65,86,73,77,139,183,113,106,61,120,61,57,66,15,15,12,10,14,22,21,17,21,15,14,11,10,11,10,10,6,0,0,0
Beta_2.15,M397,75,108,258,27,7,61,33,8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,15,2,2,3,11,127,124,67,81,73,70,162,171,119,94,63,98,76,63,49,17,20,8,9,9,16,21,19,15,22,15,14,11,12,10,11,12,0,0,0
Beta_2.15,M398,79,109,259,21,3,59,42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,3,4,1,2,2,12,128,114,74,82,80,61,141,184,112,102,61,93,83,56,55,14,28,10,10,8,10,16,18,20,16,21,16,14,11,12,11,14,7,0,0
Beta_2.15,M399,83,113,254,24,8,66,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,1,3,0,2,13,134,122,77,74,81,68,140,190,117,84,71,87,93,38,55,29,19,13,11,8,9,8,16,16,19,16,20,17,13,15,13,14,16,0,0
Beta_2.15,M400,64,129,246,17,3,62,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,19,139,126,75,71,88,66,131,207,122,96,71,73,104,43,50,35,14,8,10,12,6,6,8,13,17,18,17,18,18,16,15,16,22,0,0
Beta_2.15,M401,64,130,240,19,4,68,45,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,2,1,2,0,23,146,121,62,71,82,82,122,204,136,92,73,76,98,52,39,31,10,8,9,11,5,6,7,8,12,14,17,14,12,23,18,20,34,0,0
Beta_2.15,M402,63,136,235,22,5,60,51,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,1,2,0,20,129,140,65,73,82,80,122,202,140,107,76,70,93,60,27,38,11,7,6,6,9,6,4,7,9,11,12,16,9,3,18,25,30,17,0
Beta_2.15,M403,54,136,235,28,6,65,57,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1,2,0,19,126,132,70,60,92,83,138,183,138,105,73,73,93,63,18,43,12,5,5,6,5,6,5,5,6,8,11,11,13,8,7,31,28,38,0
Beta_2.15,M404,44,139,225,27,6,70,60,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,0,2,17,127,117,75,59,89,90,124,186,155,109,72,54,90,73,27,33,19,5,4,5,6,6,5,5,5,8,7,8,11,13,4,50,17,68,0
Beta_2.15,M405,43,134,222,30,5,65,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,21,120,124,73,70,82,104,131,182,136,120,81,45,66,88,47,19,33,7,3,5,5,5,6,5,8,5,5,6,8,32,24,24,31,49,0
