Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_2.00,M366,55,57,53,142,27,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,1,2,3,1,9,30,48,64,109,163,50,45,69,56,78,47,52,49,49,33,24,19,18,14,25,25,54,2,0,0,0,0,0,0
Beta_2.00,M367,56,58,50,142,29,6,4,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,2,1,2,6,33,50,65,107,165,50,49,69,53,71,44,46,54,53,32,22,18,17,15,15,28,40,26,0,0,0,0,0,0
Beta_2.00,M368,56,57,51,141,24,6,4,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,0,2,0,9,31,43,68,114,167,49,46,53,79,71,43,41,39,52,35,27,17,16,19,15,26,32,40,0,0,0,0,0,0
Beta_2.00,M369,63,54,57,138,25,6,5,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,2,0,2,0,6,32,43,70,116,163,50,50,52,81,59,36,41,44,49,39,24,18,15,16,19,16,36,52,1,0,0,0,0,0
Beta_2.00,M370,62,55,59,139,18,5,5,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,5,3,0,2,1,2,4,33,35,73,120,168,54,43,46,67,75,39,31,41,45,34,34,19,17,15,16,20,31,61,1,0,0,0,0,0
Beta_2.00,M371,74,63,65,146,22,7,5,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,12,2,2,1,2,3,5,38,34,69,120,158,53,47,53,60,78,35,27,40,45,39,22,32,19,15,16,18,32,71,2,0,0,0,0,0
Beta_2.00,M372,68,56,66,132,23,3,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,14,2,4,4,1,3,6,36,40,73,119,161,50,46,48,56,59,58,20,33,35,43,27,18,27,17,16,18,22,57,32,0,0,0,0,0
Beta_2.00,M373,65,53,71,135,23,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,24,2,2,3,2,4,40,36,82,127,161,57,50,45,52,57,59,26,31,38,44,27,25,16,21,21,18,22,47,50,0,0,0,0,0
Beta_2.00,M374,78,64,74,129,25,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,24,2,2,1,5,38,35,79,132,160,59,48,44,50,60,51,41,22,25,37,26,35,17,19,18,26,20,41,66,0,0,0,0,0
Beta_2.00,M375,76,64,78,123,26,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,17,22,5,5,45,32,84,127,168,64,51,48,55,45,60,36,27,23,29,26,23,29,28,21,19,22,37,81,0,0,0,0,0
Beta_2.00,M376,66,61,73,124,28,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,18,6,31,45,41,82,130,162,65,55,47,50,47,47,45,27,22,27,24,23,26,29,21,21,21,30,99,0,0,0,0,0
Beta_2.00,M377,73,67,72,126,30,11,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,1,20,52,75,85,131,163,73,62,46,56,45,39,51,21,29,24,23,17,32,21,23,22,19,25,116,0,0,0,0,0
Beta_2.00,M378,77,57,68,128,29,16,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,7,44,44,108,142,189,85,51,54,47,49,32,51,29,21,33,26,24,11,20,22,23,20,25,96,35,0,0,0,0
Beta_2.00,M379,76,60,81,110,29,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,56,36,96,135,171,101,54,59,83,44,37,37,48,19,35,37,7,5,11,19,25,21,24,75,73,0,0,0,0
Beta_2.00,M380,75,70,74,122,28,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,41,107,157,164,87,52,51,60,60,41,57,60,19,21,39,8,3,4,10,21,24,29,64,103,0,0,0,0
Beta_2.00,M381,76,71,77,106,33,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,54,34,87,148,160,101,65,47,54,44,38,43,41,43,31,60,19,5,4,0,11,20,28,60,129,0,0,0,0
