Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41
Beta_1.90,M476,106,5,95,20,63,43,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,79,126,137,77,58,89,77,73,43,43,60,32,38,113,89,58,47,15,12,16,15,14,17,29,79,0,0,0,0,0,0
Beta_1.90,M477,97,4,104,14,57,50,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,120,148,66,60,79,87,51,55,44,56,34,32,98,76,65,44,44,13,16,18,14,19,23,82,0,0,0,0,0,0
Beta_1.90,M478,89,5,99,16,66,48,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,119,119,104,64,52,111,53,49,43,59,35,25,68,72,78,58,56,15,16,20,14,27,8,80,0,0,0,0,0,0
Beta_1.90,M479,90,15,90,14,79,36,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,56,124,121,121,59,51,114,70,24,56,61,33,24,35,97,71,79,43,15,17,16,16,26,7,84,0,0,0,0,0,0
Beta_1.90,M480,77,24,84,18,69,50,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,50,142,105,108,69,48,115,74,23,53,52,46,23,29,108,83,73,36,36,17,11,17,23,7,83,0,0,0,0,0,0
Beta_1.90,M481,66,28,86,17,75,48,25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,71,149,108,92,77,44,105,84,32,35,62,65,32,35,73,61,86,45,40,25,8,19,20,6,83,0,0,0,0,0,0
Beta_1.90,M482,61,27,90,18,75,50,23,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,145,108,95,78,41,104,86,52,28,63,47,33,26,45,75,110,58,40,22,5,26,12,6,85,0,0,0,0,0,0
Beta_1.90,M483,57,27,86,26,70,56,28,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,147,111,100,75,53,105,77,31,40,34,60,43,20,41,95,100,66,43,20,18,34,3,4,86,0,0,0,0,0,0
Beta_1.90,M484,55,39,76,35,77,50,22,6,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,81,153,87,90,66,49,85,89,36,25,44,64,59,36,35,81,98,79,39,21,27,29,3,4,79,0,0,0,0,0,0
Beta_1.90,M485,50,44,79,17,71,53,23,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,2,30,18,81,144,94,98,56,55,66,108,44,23,30,48,58,59,29,50,68,126,44,21,33,25,3,4,61,0,0,0,0,0,0
Beta_1.90,M486,51,52,79,23,66,58,37,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,0,0,1,16,38,104,129,110,107,66,58,53,122,36,22,20,41,29,57,45,35,85,134,45,26,37,22,3,5,53,0,0,0,0,0,0
Beta_1.90,M487,50,111,14,45,51,53,38,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,1,1,16,59,114,125,109,106,63,53,52,124,41,24,19,37,18,40,55,39,68,130,64,24,27,21,4,4,48,0,0,0,0,0,0
Beta_1.90,M488,52,92,22,42,47,63,32,7,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,10,7,3,3,4,43,121,131,111,115,65,54,49,120,48,23,19,37,12,15,69,36,58,105,114,23,23,37,3,5,41,1,0,0,0,0,0
Beta_1.90,M489,58,89,24,57,43,84,29,14,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,5,3,3,2,4,8,39,108,98,142,119,68,56,45,111,70,19,16,38,8,11,30,64,58,95,142,24,13,22,14,5,34,2,0,0,0,0,0
